desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,buffIcon-string,parameters2-int[][],effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
基本ダメージ（千分係数）,0,1,1,0,1,"1000,1,2",0,,,,,,
 前進距離（cm）,500,2,2,0,1,"100,0,1",0,,,,,,
 反発用変位（cm）,500,3,3,0,1,100,0,,,,,,
 無敵,1000,4,4,0,1,,0,,,,,,
 主導体質,1000,5,5,0,10,,0,buff-icon-5,,,,,
 探索変位（最小、最大距離cm）,100,6,6,0,1,"50,150,0,1,1",0,,,,,,
 属性変更（属性ID、変更タイプ、変更値）,,7,7,0,1,,0,,"11,1,100;13,1,10",,,,
 基本めまい効果,,8,8,0,1,,1,buff-icon-8,,,,,
 連続ダメージ（千分係数）,500,9,9,0,5,"100,1",0,,,500,,,
 衝突トリガー（効果ボールリスト）,500,10,10,0,1,"15,17",0,,,,,,
 クイックスキル発動（スキルIDリスト、トリガータイプ、発動確率、スキルID）,0,11,11,0,1,,0,,"14,15,16;1,500,65",,,,
 範囲内での効果ボール追加（対象タイプ、対象制限；効果ボールリスト）,,12,12,0,1,,0,,"1,1;15,730",500,,,
 血の暴走効果（属性ID、変更タイプ、1%のHP損失ごとの獲得値）,,13,13,0,1,,0,,"11,1,100;13,1,10",,,,
 一定時間ダメージを受けずに属性値を増加（ms単位の持続時間）（属性ID、変更タイプ、1%の体力損失ごとの獲得値）,-1,14,14,0,1,3000,0,,"11,1,100;13,1,10",,,,
 基本ダメージ,0,1,15,0,1,"1000,1,2",0,,,,,,
 主人公の事前キャスト変位距離,200,2,16,0,1,"90,0,1",0,,,,,,
 汎用ノックバック距離効果,200,3,17,0,1,90,0,,,,,,
 プレイヤーのローリング移動,250,2,18,0,1,"350,0,1",0,,,,,,
 プレイヤーが無敵になる,500,4,19,0,1,,0,,,,,,
 主人公の攻撃3の事前攻撃変位距離,200,2,20,0,1,"110,0,1",0,,,,,,
 3番目の基本攻撃ノックバック距離効果,275,3,21,0,1,100,0,,,,,,
 1秒間のハイパーアーマー,1000,5,22,1,10,,0,buff-icon-22,,,,,
 めまいテスト,3000,8,23,0,1,,1,buff-icon-23,,,,,
 缶詰犬は強力な近接能力を持つ,730,5,24,0,10,,0,buff-icon-24,,,,,
 パンプキンマン、近接タンク,1300,5,25,0,10,,0,buff-icon-25,,,,,
 ドラゴンフルーツ兵、近接支配,1100,5,26,0,10,,0,buff-icon-26,,,,,
 木の人、近接タンク,1000,5,27,0,10,,0,buff-icon-27,,,,,
 ウルフキング、近接タンク,2000,5,28,0,10,,0,buff-icon-28,,,,,
 ウルフキング、近接ノックバック,1000,3,29,0,1,100,0,,,,,,
 ウルフキングスキル：変位,1000,2,30,0,1,"1200,0,1",0,,,,,,
 検出変位効果,150,6,31,0,1,"80,200,0,1,1",0,,,,,,
 攻撃+100、HP上限+100、クリティカル率+50%,-1,7,32,0,1,,0,,"13,1,100;11,1,100;19,1,500",,,,
 攻撃+50%、最大HP+50%,-1,7,33,0,1,,0,,"13,2,500;11,2,500",,1,2,
 最大HP+100、攻撃+10%,10000,7,34,0,10,,0,,"11,1,100;13,2,100",,,,
 3秒間めまい,3000,8,35,0,1,,1,buff-icon-35,,,,,
 血のバフ,5000,9,36,0,5,"100,1",0,,,500,,,
 衝突ダメージ,1500,1,37,0,1,"1500,1,2",0,,,100,,,
 血の暴走バフ、1%のHP損失=1ダメージボーナス,-1,13,38,0,1,,0,,"21,1,10",,,,
 3秒間ダメージなし、+10%ダメージバフ,-1,14,39,0,1,,0,,"21,1,100",,,,
 衝突ノックバック,300,3,40,0,1,500,0,,,,,,
 衝突ダメージとノックバック,400,10,41,0,1,"37,40",0,,,,,,
 スプリント変位,300,2,42,0,1,"400,0,1",0,,,,,,
 素手攻撃が剣攻撃をトリガー,-1,11,43,0,1,,0,,"14,15,16;1,500,65",,,,
 範囲内でのランダム単一ターゲットダメージ,5000,12,44,0,1,,0,,"1,1;15,730",500,,,
 範囲内のグループ被害,5000,12,45,0,1,,0,,"1,20;15,730",500,,,
 戦闘コア1、攻撃力1%増加,-1,7,46,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
 戦闘コア2、攻撃力1%増加,-1,7,47,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
 戦闘コア3、攻撃力1%増加,-1,7,48,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘コア4、攻撃力+1%  ,-1,7,49,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘コア5、攻撃力+1%  ,-1,7,50,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘コア6、攻撃力1%増加  ,-1,7,51,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘コア6、攻撃力1%増加  ,-1,7,52,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘コア6、攻撃力1%増加  ,-1,7,53,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘コア6、攻撃力1%増加  ,-1,7,54,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戦闘中のクリティカルヒット確率+5%  ,-1,7,55,0,1,,0,,"19,1,50",,,,
戦闘中のクリティカルヒット確率+10%  ,-1,7,56,0,1,,0,,"19,1,100",,,,
戦闘中のクリティカルヒット確率+15%  ,-1,7,57,0,1,,0,,"19,1,150",,,,
戦争によるダメージ軽減50%  ,0,1,58,0,1,"1500,1,2",0,,,,,,
戦争で踏みつけ、2秒のめまい  ,2000,8,59,0,1,,1,buff-icon-59,,,,,
追加獲得確率+1%  ,-1,7,60,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,61,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,62,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,63,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,64,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,65,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,66,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,67,0,10,,0,,"40,1,10",,,,
追加獲得確率+1%  ,-1,7,68,0,10,,0,,"40,1,10",,,,
作物レベルの増加  ,-1,7,69,0,1,,0,,"42,1,1",,,,
作物レベルの増加  ,-1,7,70,0,1,,0,,"42,1,1",,,,
作物レベルの増加  ,-1,7,71,0,1,,0,,"42,1,1",,,,
耕作速度を10%アップ  ,-1,7,72,0,1,,0,,"37,1,100",,,,
耕作速度を20%アップ  ,-1,7,73,0,1,,0,,"37,1,100",,,,
耕作速度を30%アップ  ,-1,7,74,0,1,,0,,"37,1,100",,,,
水やりで湿度保持率が5%増加  ,-1,7,75,0,1,,0,,"39,1,50",,,,
水やりで湿度保持率が10%増加  ,-1,7,76,0,1,,0,,"39,1,100",,,,
水やりで湿度保持率が15%増加  ,-1,7,77,0,1,,0,,"39,1,150",,,,
資源収集確率が2倍に+1%  ,-1,7,78,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,79,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,80,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,81,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,82,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,83,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,84,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,85,0,20,,0,,"27,1,10;34,1,10",,,,
資源収集確率が2倍に+1%  ,-1,7,86,0,20,,0,,"27,1,10;34,1,10",,,,
高レベルの資源収集レベルの増加  ,-1,7,87,0,1,,0,,"28,1,1;35,1,1",,,,
高レベルの資源収集レベルの増加  ,-1,7,88,0,1,,0,,"28,1,1;35,1,1",,,,
高レベルの資源収集レベルの増加  ,-1,7,89,0,1,,0,,"28,1,1;35,1,1",,,,
斧の振り速度を10%アップ  ,-1,7,90,0,1,,0,,"23,1,100",,,,
斧の振り速度を20%アップ  ,-1,7,91,0,1,,0,,"23,1,200",,,,
斧の振り速度を30%アップ  ,-1,7,92,0,1,,0,,"23,1,300",,,,
木を切るクリティカルヒット確率+5%  ,-1,7,93,0,1,,0,,"24,1,50",,,,
木を切るクリティカルヒット率10%増加  ,-1,7,94,0,1,,0,,"24,1,100",,,,
木を切るクリティカルヒット率15%増加  ,-1,7,95,0,1,,0,,"24,1,150",,,,
種子入手確率が5%増加  ,-1,7,96,0,1,,0,,"41,1,50",,,,
種子入手確率が10%増加  ,-1,7,97,0,1,,0,,"41,1,100",,,,
種子入手確率が15%増加,-1,7,98,0,1,,0,,"41,1,150",,,,
追加ホームスピード +10% ,-1,7,99,0,1,,0,,"8,1,100",,,,
 追加ホームスピード +20% ,-1,7,100,0,1,,0,,"8,1,200",,,,
 追加ホームスピード +30% ,-1,7,101,0,1,,0,,"8,1,300",,,,
 モンスターへのクリティカルダメージを10%増加 ,-1,7,102,0,1,,0,,"20,1,100",,,,
 モンスターへのクリティカルダメージを20%増加 ,-1,7,103,0,1,,0,,"20,1,200",,,,
 モンスターへのクリティカルダメージを30%増加 ,-1,7,104,0,1,,0,,"20,1,300",,,,
 戦闘中の受けるダメージが1%増加 ,5000,7,105,0,5,,1,buff-icon-105,"18,1,10",,,,
 戦闘中の受けるダメージが2%増加 ,5000,7,106,0,5,,1,buff-icon-106,"18,1,20",,,,
