col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,upgradeToken-int[],preNode-int[]
0,"戦闘攻撃力 + 5
戦闘防御力 + 5
戦闘最大HP + 20
最大エネルギー + 10
エネルギーレシピの解除","51,588#1199,10000","1,2,3",talentTree-1,1,1,1,1,バトルトランク1,0,2,450,0,0,
0,"戦闘攻撃力 + 5
戦闘防御力 + 5
戦闘最大HP + 20
最大エネルギー + 10
エネルギーレシピの解除","52,585#1194,10000","1,2,3",talentTree-2,2,1,2,1,バトルトランク2,0,2,900,1,0,1
0,"戦闘攻撃力 + 5
戦闘防御力 + 5
戦闘最大HP + 20
最大エネルギー + 10
エネルギーレシピの解除","53,592#1192,10000","1,2,3",talentTree-3,3,1,3,1,バトルトランク3,0,2,1800,2,0,2
0,"[戦闘 ATK +5]
戦闘 DEF +5
戦闘 最大HP +20
最大エネルギー +10
エネルギーレシピの解除","54,590#1197,10000","1,2,3",talentTree-4,4,1,4,1,戦闘マスタリー4,0,2,3600,3,3,3
0,"戦闘攻撃力 +5
戦闘防御力 +5
戦闘最大HP +20
最大エネルギー +10
エネルギーレシピの解除","55,589#1196,10000","1,2,3",talentTree-5,5,1,5,1,戦闘マスタリー5,0,2,7200,4,4,4
0,"戦闘攻撃力 +5
戦闘防御力 +5
戦闘最大HP +20
最大エネルギー +10
エネルギーレシピの解除","56,595#1195,10000","1,2,3",talentTree-6,6,1,6,1,戦闘マスタリー 6,0,2,14400,5,5,5
0,"戦闘攻撃力 +5
戦闘防御力 +5
戦闘最大HP +20
最大エネルギー +10
エネルギーレシピを解除する","57,614#1200,10000","1,2,3",talentTree-7,7,1,7,1,バトルトランク7,0,2,28800,6,6,6
0,"戦闘攻撃力 + 5
戦闘防御 + 5
戦闘最大HP + 20
最大エネルギー + 10
エネルギーレシピの解除","58,615#1193,10000","1,2,3",talentTree-8,8,1,8,1,バトルトランク8,0,2,57600,7,7,7
0,"戦闘攻撃力 + 5
戦闘防御 + 5
戦闘最大HP + 20
最大エネルギー + 10
エネルギーレシピの解除","59,619#1198,10000","1,2,3",talentTree-9,9,1,9,1,バトルトランク9,0,2,115200,8,8,8
-3,敵の移動速度を減少させる。,332,1,talentTree-10,10,0,2,1,トランプル - 強化,0,2,175,0,0,11
-3,周囲の敵をスタンさせます。,63,0,talentTree-11,11,0,1,1,踏みつけ,0,2,95,0,0,
0,"肥沃度 + 1
植栽熟練度 + 4
ペット幸福度 + 1
繁殖熟練度 + 4
最大エネルギー + 10
農業フィットネス：農業熟練度を一定の割合で戦闘防御力と体力上限に変換する。農業ツールを装備している場合に有効です。
エネルギーレシピの解除","66#531,591#597#1183,10000","1,2,3",talentTree-13,13,1,1,1,農畜産トランク1,0,1,450,0,0,
0,"肥沃度 + 1
植栽熟練度 + 4
ペットの幸福度 + 1
繁殖熟練度 + 4
最大エネルギー + 10
エネルギーレシピの解除","67,593#598#1184,10000","1,2,3",talentTree-14,14,1,2,1,農業および畜産トランク 2,0,1,900,1,0,13
0,"肥沃度 + 1
植栽熟練度 + 4
ペットの幸福度 + 1
繁殖熟練度 + 4
最大エネルギー + 10
エネルギーレシピの解除","68,596#599#1188,10000","1,2,3",talentTree-15,15,1,3,1,農畜産トランク3,0,1,1800,2,0,14
0,"[肥沃度 +1]
植栽熟練度 +4
ペット幸福度 +1
繁殖熟練度 +4
最大エネルギー +10
エネルギーレシピの解除","69,594#600#1190,10000","1,2,3",talentTree-16,16,1,4,1,農業マスタリー4,0,1,3600,3,3,15
0,"ユニットプロットの出力肥沃度 +1
植栽熟練度 +4
ユニットペット生産幸福指数 +1
繁殖熟練度 +4
最大エネルギー +10
エネルギーレシピの解除","70,601#587#1185,10000","1,2,3",talentTree-17,17,1,5,1,農業マスタリー5,0,1,7200,4,4,16
0,"肥沃度キャパシティ +1
植栽熟練度 +4
ペットの幸福度キャパシティ +1
繁殖熟練度 +4
最大エネルギー +10
エネルギーレシピの解除","71,602#586#1189,10000","1,2,3",talentTree-18,18,1,6,1,農業マスタリー 6,0,1,14400,5,5,17
0,"肥沃度キャパシティ +1
植栽熟練度 +4
ペット幸福度キャパシティ +1
繁殖熟練度 +4
最大エネルギー +10
エネルギーレシピを解除する","72,620#617#1187,10000","1,2,3",talentTree-19,19,1,7,1,農業および畜産のバックボーン 7,0,1,28800,6,6,18
0,"ユニットプロットの出力肥沃度 + 1
植栽熟練度 + 4
ペットの幸福度容量 + 1
繁殖熟練度 + 4
最大エネルギー + 10
エネルギーレシピの解除","73,624#621#1186,10000","1,2,3",talentTree-20,20,1,8,1,農畜産トランク8,0,1,57600,7,7,19
0,"肥沃度容量 + 1
植栽熟練度 + 4
ペットの幸福度容量 + 1
繁殖熟練度 + 4
最大エネルギー + 10
エネルギーレシピの解除","74,625#616#1191,10000","1,2,3",talentTree-21,21,1,9,1,農畜産トランク9,0,1,115200,8,8,20
1,"FertilityCapacity + 1
",228,1,talentTree-22,22,0,1,1,栽培圃場の値 - 単位当たりの生産力プロット,0,1,95,0,0,
-1,あなたの周りの小さな畑に水をやります。,99,0,talentTree-23,23,0,2,1,じょうろマスタリー,0,1,210,0,0,77
0,"草刈り攻撃力 + 5
木の攻撃力 + 5
鉱石への攻撃力 + 5
草むしり熟練度 + 5
木の伐採熟練度 + 5
鉱石の採掘熟練度 + 5
最大エネルギー + 10
収集フィットネス：収集熟練度を一定の割合で戦闘防御力と体力に変換する。収集ツールを装備している場合に有効です。
エネルギーレシピの解除","81#530,267#605,10000","1,2,3",talentTree-24,24,1,1,1,コレクションのバックボーン 1,0,3,450,0,0,
