actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,堡垒,1
2,1,2,怪物攻击力增强了,2,暴怒,1
3,1,2,玩家防御值削弱了,3,诅咒,1
4,1,2,玩家攻击力削弱了,4,虚弱,1
5,1,2,怪物最大血量增加了,5,血祭,1
6,1,2,怪物防御值削弱了,6,破甲,1
7,1,2,怪物攻击力削弱了,7,钝化,1
8,1,2,玩家防御值增强了,8,守护,1
9,1,2,玩家攻击力增强了,9,鼓舞,1
10,1,2,怪物最大血量减少了,10,支援,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11,破甲,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12,钝化,2
8,2,"17,18,19,20,21",玩家防御值增强了,13,守护,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14,鼓舞,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15,支援,2
11,1,1,减益,16,战斗随机事件,1
12,1,3,增益,17,战斗随机事件,1
13,1,1,减益,18,采集随机事件,1
14,1,3,增益,19,采集随机事件,1
15,1,5,减益,20,农牧随机事件,1
16,1,7,增益,21,农牧随机事件,1
"37,38",1,8,变化,22,采集基础事件,1
39,2,"5,6",种田副本削减成长时间,23,"Accelerated growth{0}@@

翻译为中文为：@@[1]加速生长{0}@@",1
