belongtoLv-int,bodyCapacity-int,captureHp-int,captureSkillCastPool-int[][],combatDist-int,combatPotentiality-int[],desc-string,dropResourcesArea-int,exp-int,farmPotentiality-int[],favoriteItem-int[],gatherPotentiality-int[],icon-string,id-int,initialAttribute-int[][],isGlobal-int,lockEnemyRange-int,name-string,progressScore-int,pushDist-int,pushDmg-int,roleAssetID-int,skillCastPool-int[][],tokenTaskLevel-int[],totemScore-int,worldDropGroup-int,dropId-int
999,66,40,"169,100",5000,"537,565",Big Dryad,0,15,"537,565",30,"537,565",monster-icon-4,4,"13,137,1;15,152,1;11,1518,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",0,240,大树仙女,0,30,20,13,"34,100",999,0,0,
1,30,20,"169,100",3000,"500,537",,0,14,"500,537","69,61","500,537",monster-icon-6,6,"13,100,1;15,100,1;11,1000,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",0,500,金属狗,2,30,20,10,"179,100;359,100;31,100","0, 1",1,1,7
1,30,20,"169,100",4000,"500,537",,0,15,"500,537","69,61","500,537",monster-icon-7,7,"13,100,1;15,90,1;11,900,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",0,500,南瓜恶魔,2,30,20,11,"32,100;180,100;40,100;361,100","0, 1",1,1,8
1,30,20,"169,100",3000,"500,537",,0,14,"500,537","69,61","500,537",monster-icon-8,8,"13,95,1;15,105,1;11,1050,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",0,500,仙人掌战士,2,30,30,12,"33,100;181,100;360,100","0, 1",1,1,9
2,30,30,"169,100",3000,"520,552",,0,20,"520,552","69,61","520,552",monster-icon-9,9,"13,125,1;15,138,1;11,1381,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",0,1500,矿矿猫,4,30,20,28,"112,100;184,100;363,100",2,0,2,10
2,30,30,"169,100",3000,"520,552",,0,22,"520,552","69,61","520,552",monster-icon-10,10,"13,132,1;15,132,1;11,1316,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",0,1500,叶状潜伏者,4,30,20,29,"111,100;183,100;364,100",2,0,2,11
2,30,30,"169,100",4000,"520,552",,0,21,"520,552","69,61","520,552",monster-icon-11,11,"13,132,1;15,118,1;11,1184,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",0,1500,嗡嗡蜂,4,30,20,27,"96,100;182,100;346,100;362,100",2,0,2,12
3,30,40,"169,100",5000,"537,565",,0,31,"537,565","69,61","537,565",monster-icon-12,12,"13,145,1;15,130,1;11,1301,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",0,1500,混沌幽灵,8,20,20,37,"206,100;207,100;366,100",3,0,3,13
3,30,40,"169,100",5000,"537,565",,0,28,"537,565","69,61","537,565",monster-icon-13,13,"13,145,1;15,145,1;11,1446,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",0,1500,深红猛击者,8,20,20,36,"208,100;209,100;365,100",3,0,3,14
3,30,40,"169,100",5000,"537,565",,0,30,"537,565","69,61","537,565",monster-icon-14,14,"13,137,1;15,152,1;11,1518,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",0,1500,冰霜爪牙,8,10,20,31,"210,100;211,100;367,100",3,0,3,15
999,50,200010,,0,"520,520",,0,212,"520,520",,"520,520",monster-icon-18,18,"13,132,1;15,132,1;11,20720,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",0,1500,赛博瑞兹,40,10,200,56,"369,100;370,100;371,100;513,100",999,6,0,
999,100,300010,,0,"537,537",,0,300,"537,537",,"537,537",monster-icon-19,19,"13,145,1;15,145,1;11,23860,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",0,1500,冰霜领主,80,10,500,57,"372,100;373,100;374,100;513,100",999,9,0,
999,30,50,"169,100",0,"552,575",,0,40,"552,575","374,383","552,575",monster-icon-26,26,"13,151,1;15,151,1;11,3010,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",0,3000,骷髅士兵(副本),16,20,100,58,"393,100",999,4,0,156
999,50,50,"169,100",0,"552,575",,0,42,"552,575","375,384","552,575",monster-icon-27,27,"13,143,1;15,158,1;11,3160,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",0,3000,橙叶蛋头(副本),16,30,100,59,"394,100",999,4,0,155
999,30,50,"169,100",0,"552,575",,0,40,"552,575","376,385","552,575",monster-icon-28,28,"13,143,1;15,158,1;11,3160,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",0,3000,愤怒树桩(副本),16,10,100,60,"395,100",999,4,0,154
999,30,60,"169,100",0,"565,582",,0,57,"565,582","377,386","565,582",monster-icon-29,29,"13,153,1;15,153,1;11,3068,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",0,3000,骷髅队长(副本),32,10,150,61,"396,100;417,100",999,0,0,159
999,50,60,"169,100",0,"565,582",,0,63,"565,582","378,387","565,582",monster-icon-30,30,"13,145,1;15,160,1;11,3220,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",0,3000,暗黑巨目(副本),32,20,150,62,"397,100",999,0,0,158
999,30,60,"169,100",0,"565,582",,0,60,"565,582","379,388","565,582",monster-icon-31,31,"13,153,1;15,137,1;11,2760,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",0,3000,黑化雪精灵(副本),32,30,150,63,"398,100;405,100",999,0,0,157
999,30,70,"169,100",0,"575,587",,0,89,"575,587","380,389","575,587",monster-icon-32,32,"13,147,1;15,162,1;11,3250,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",0,3000,冰球巨龟(副本),64,30,200,64,"399,100",999,0,0,160
999,30,70,"169,100",0,"575,587",,0,80,"575,587","381,390","575,587",monster-icon-33,33,"13,155,1;15,139,1;11,2786,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",0,3000,骷髅弓箭手(副本),64,20,200,65,"400,100;406,100",999,0,0,162
999,30,70,"169,100",0,"575,587",,0,84,"575,587","382,391","575,587",monster-icon-34,34,"13,147,1;15,147,1;11,3096,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",0,3000,雪兔巫师(副本),64,10,200,66,"401,100;407,100",999,0,0,161
999,30,1010,"169,100",0,"1,1",,0,15,"1,1","69,61","1,1",monster-icon-35,35,"13,100,1;15,1000,1;11,2,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,0,0;12,10,0",0,2500,陷阱_推(副本),0,0,1,67,"402,100",999,1,0,
999,30,1010,"169,100",0,"1,1",,0,15,"1,1",,"1,1",monster-icon-36,36,"13,100,1;15,1000,1;11,1,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,0,0;12,10,0",0,1500,陷阱_炸弹,0,0,1,68,"403,100",999,1,0,
999,150,400010,"169,100",0,"552,552",,0,424,"552,552",,"552,552",monster-icon-37,37,"13,151,1;15,151,1;11,51920,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",0,2500,森林之主(副本),160,10,1000,69,"408,100;409,100;422,25;513,100",999,12,0,209
999,150,500010,"169,100",0,"565,565",,0,600,"565,565",,"565,565",monster-icon-38,38,"13,153,1;15,153,1;11,55220,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",0,2500,北境之主(副本),320,10,1000,70,"410,100;411,100;423,25;513,100",999,15,0,210
999,150,600010,"169,100",0,"575,575",,0,848,"575,575",,"575,575",monster-icon-39,39,"13,155,1;15,155,1;11,58060,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",0,2500,灵魂之主(副本),640,10,1000,71,"412,100;413,100;414,100;424,100;513,100",999,18,0,211
