args-string[],callFunc-string[],cd-int,cdType-int,id-int,interactType-string
200,Add Buff,5000,1,140,usePotion
189,Add Buff,60000,6,141,usePotion
190,Add Buff,60000,6,142,usePotion
191,Add Buff,60000,6,143,usePotion
192,Add Buff,60000,6,144,usePotion
193,Add Buff,60000,6,145,usePotion
199,Add Buff,5000,1,134,usePotion
178,Add Buff,60000,6,135,usePotion
185,Add Buff,60000,6,136,usePotion
186,Add Buff,60000,6,137,usePotion
187,Add Buff,60000,6,138,usePotion
188,Add Buff,60000,6,139,usePotion
-,Fertilize,0,0,128,equipItem
-,Fertilize,0,0,129,equipItem
-,Fertilize,0,0,130,equipItem
-,Fertilize,0,0,131,equipItem
-,Fertilize,0,0,132,equipItem
-,Fertilize,0,0,133,equipItem
-,Sow Seeds,0,0,146,equipItem
-,Sow Seeds,0,0,147,equipItem
-,Sow Seeds,0,0,148,equipItem
-,Sow Seeds,0,0,149,equipItem
-,Sow Seeds,0,0,150,equipItem
-,Sow Seeds,0,0,151,equipItem
-,Sow Seeds,0,0,152,equipItem
-,Sow Seeds,0,0,153,equipItem
-,Sow Seeds,0,0,154,equipItem
-,Feed,0,0,28,equipItem
-,Feed,0,0,29,equipItem
201,Add Buff,5000,1,191,usePotion
194,Add Buff,60000,6,192,usePotion
195,Add Buff,60000,6,194,usePotion
196,Add Buff,60000,6,195,usePotion
197,Add Buff,60000,6,196,usePotion
198,Add Buff,60000,6,197,usePotion
-,Fertilize,0,0,219,equipItem
-,Fertilize,0,0,220,equipItem
-,Fertilize,0,0,221,equipItem
347,ReleaseSkill,5000,0,232,releaseSkill
348,ReleaseSkill,5000,0,233,releaseSkill
351,ReleaseSkill,5000,0,234,releaseSkill
352,ReleaseSkill,5000,0,235,releaseSkill
356,ReleaseSkill,5000,0,236,releaseSkill
357,ReleaseSkill,5000,0,237,releaseSkill
358,ReleaseSkill,5000,0,238,releaseSkill
12,Restore Energy,0,0,295,usePotion
15,Restore Energy,0,0,296,usePotion
22,Restore Energy,0,0,297,usePotion
-,Sow Seeds,0,0,413,equipItem
-,Sow Seeds,0,0,414,equipItem
-,Sow Seeds,0,0,415,equipItem
-,Sow Seeds,0,0,416,equipItem
-,Sow Seeds,0,0,417,equipItem
-,Sow Seeds,0,0,418,equipItem
-,Sow Seeds,0,0,419,equipItem
-,Sow Seeds,0,0,420,equipItem
-,Sow Seeds,0,0,421,equipItem
375,Add Buff,5000,1,422,usePotion
376,Add Buff,60000,6,423,usePotion
377,Add Buff,60000,6,424,usePotion
378,Add Buff,60000,6,425,usePotion
379,Add Buff,60000,6,426,usePotion
380,Add Buff,60000,6,427,usePotion
381,Add Buff,5000,1,429,usePotion
382,Add Buff,60000,6,430,usePotion
383,Add Buff,60000,6,431,usePotion
384,Add Buff,60000,6,432,usePotion
385,Add Buff,60000,6,433,usePotion
386,Add Buff,60000,6,434,usePotion
387,Add Buff,5000,1,435,usePotion
388,Add Buff,60000,6,436,usePotion
389,Add Buff,60000,6,437,usePotion
390,Add Buff,60000,6,438,usePotion
391,Add Buff,60000,6,439,usePotion
392,Add Buff,60000,6,440,usePotion
30,Restore Energy,0,0,459,usePotion
37,Restore Energy,0,0,460,usePotion
45,Restore Energy,0,0,461,usePotion
52,Restore Energy,0,0,599,usePotion
60,Restore Energy,0,0,600,usePotion
67,Restore Energy,0,0,601,usePotion
-,Sow Seeds,0,0,614,equipItem
-,Sow Seeds,0,0,615,equipItem
-,Sow Seeds,0,0,616,equipItem
-,Sow Seeds,0,0,617,equipItem
-,Sow Seeds,0,0,618,equipItem
-,Sow Seeds,0,0,619,equipItem
-,Sow Seeds,0,0,620,equipItem
-,Sow Seeds,0,0,621,equipItem
-,Sow Seeds,0,0,622,equipItem
,Add Buff,5000,1,623,usePotion
,Add Buff,60000,6,641,usePotion
,Add Buff,60000,6,642,usePotion
,Add Buff,60000,6,643,usePotion
,Add Buff,60000,6,644,usePotion
,Add Buff,60000,6,645,usePotion
,Add Buff,5000,1,646,usePotion
,Add Buff,60000,6,647,usePotion
,Add Buff,60000,6,648,usePotion
,Add Buff,60000,6,649,usePotion
,Add Buff,60000,6,650,usePotion
,Add Buff,60000,6,651,usePotion
,Add Buff,5000,1,652,usePotion
,Add Buff,60000,6,653,usePotion
,Add Buff,60000,6,654,usePotion
,Add Buff,60000,6,655,usePotion
,Add Buff,60000,6,656,usePotion
,Add Buff,60000,6,657,usePotion
-,Sow Seeds,0,0,692,equipItem
-,Feed,0,0,702,equipItem
-,Feed,0,0,703,equipItem
-,Feed,0,0,704,equipItem
-,Feed,0,0,705,equipItem
-,Feed,0,0,706,equipItem
-,Feed,0,0,707,equipItem
-,Feed,0,0,708,equipItem
