desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,buffIcon-string,parameters2-int[][],effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
基礎傷害(千分位係數）,0,1,1,0,1,"1000,1,2",0,,,,,,
前搖位移(cm),500,2,2,0,1,"100,0,1",0,,,,,,
擊退位移(cm),500,3,3,0,1,100,0,,,,,,
無敵(空）,1000,4,4,0,1,,0,,,,,,
霸體(空）,1000,5,5,0,10,,0,buff-icon-5,,,,,
索敵位移(最小，最大距離cm）,100,6,6,0,1,"50,150,0,1,1",0,,,,,,
"屬性修改(屬性ID,修改類型,修改值;)",,7,7,0,1,,0,,"11,1,100;13,1,10",,,,
基礎眩暈效果,,8,8,0,1,,1,buff-icon-8,,,,,
持續傷害(千分位係數）,500,9,9,0,5,"100,1",0,,,500,,,
碰撞觸發(效果球列表）,500,10,10,0,1,"15,17",0,,,,,,
"快速釋放技能(觸發技能ID列表;觸發類型，釋放概率,技能ID)",0,11,11,0,1,,0,,"14,15,16;1,500,65",,,,
"範圍添加效果球(目標類型,目標上限;效果球列表)",,12,12,0,1,,0,,"1,1;15,730",500,,,
"血怒效果(屬性id,變化類型,每損失1%生命值的增益值)",,13,13,0,1,,0,,"11,1,100;13,1,10",,,,
"一段時間不受傷害，增加屬性值(不受傷害時長ms）（屬性id,變化類型,每損失1%生命值的增益值）",-1,14,14,0,1,3000,0,,"11,1,100;13,1,10",,,,
基礎傷害,0,1,15,0,1,"1000,1,2",0,,,,,,
主角前搖位移距離,200,2,16,0,1,"90,0,1",0,,,,,,
通用擊退距離效果,200,3,17,0,1,90,0,,,,,,
玩家翻滾位移,250,2,18,0,1,"350,0,1",0,,,,,,
玩家翻滾無敵,500,4,19,0,1,,0,,,,,,
主角攻擊3前搖位移距離,200,2,20,0,1,"110,0,1",0,,,,,,
第三下普攻擊退距離效果,275,3,21,0,1,100,0,,,,,,
1秒霸體,1000,5,22,1,10,,0,buff-icon-22,,,,,
眩暈測試,3000,8,23,0,1,,1,buff-icon-23,,,,,
罐頭狗近戰霸體,730,5,24,0,10,,0,buff-icon-24,,,,,
南瓜先生近戰霸體,1300,5,25,0,10,,0,buff-icon-25,,,,,
火龍果士兵近戰霸體,1100,5,26,0,10,,0,buff-icon-26,,,,,
樹人近戰霸體,1000,5,27,0,10,,0,buff-icon-27,,,,,
狼王近戰霸體,2000,5,28,0,10,,0,buff-icon-28,,,,,
狼王近戰擊飛,1000,3,29,0,1,100,0,,,,,,
狼王技能位移,1000,2,30,0,1,"1200,0,1",0,,,,,,
索敵位移效果,150,6,31,0,1,"80,200,0,1,1",0,,,,,,
攻擊+100 血量上限+100 暴擊率+50%,-1,7,32,0,1,,0,,"13,1,100;11,1,100;19,1,500",,,,
攻擊+50% 血量上限+50% ,-1,7,33,0,1,,0,,"13,2,500;11,2,500",,1,2,
血量上限+100 攻擊+10% ,10000,7,34,0,10,,0,,"11,1,100;13,2,100",,,,
眩暈3秒,3000,8,35,0,1,,1,buff-icon-35,,,,,
流血buff,5000,9,36,0,5,"100,1",0,,,500,,,
碰撞傷害,1500,1,37,0,1,"1500,1,2",0,,,100,,,
血怒buff，每損失百分之1生命值對怪物傷害加成1點,-1,13,38,0,1,,0,,"21,1,10",,,,
3秒不受傷害時，對怪物傷害加成10%buff,-1,14,39,0,1,,0,,"21,1,100",,,,
碰撞擊退,300,3,40,0,1,500,0,,,,,,
碰撞傷害並且擊退,400,10,41,0,1,"37,40",0,,,,,,
衝刺位移,300,2,42,0,1,"400,0,1",0,,,,,,
空手攻擊觸發劍攻擊,-1,11,43,0,1,,0,,"14,15,16;1,500,65",,,,
範圍隨機單體傷害,5000,12,44,0,1,,0,,"1,1;15,730",500,,,
範圍群體傷害,5000,12,45,0,1,,0,,"1,20;15,730",500,,,
戰鬥主幹1,-1,7,46,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹2,-1,7,47,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹3,-1,7,48,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹4,-1,7,49,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹5,-1,7,50,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹6,-1,7,51,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹7,-1,7,52,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹8,-1,7,53,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥主幹9,-1,7,54,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
戰鬥暴擊增加5%,-1,7,55,0,1,,0,,"19,1,50",,,,
戰鬥暴擊增加10%,-1,7,56,0,1,,0,,"19,1,100",,,,
戰鬥暴擊增加15%,-1,7,57,0,1,,0,,"19,1,150",,,,
戰爭踐踏傷害效果50%,0,1,58,0,1,"1500,1,2",0,,,,,,
戰爭踐踏眩暈效果2秒,2000,8,59,0,1,,1,buff-icon-59,,,,,
額外收穫概率提高1%,-1,7,60,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,61,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,62,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,63,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,64,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,65,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,66,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,67,0,10,,0,,"40,1,10",,,,
額外收穫概率提高1%,-1,7,68,0,10,,0,,"40,1,10",,,,
提高1級可用作物等級,-1,7,69,0,1,,0,,"42,1,1",,,,
提高1級可用作物等級,-1,7,70,0,1,,0,,"42,1,1",,,,
提高1級可用作物等級,-1,7,71,0,1,,0,,"42,1,1",,,,
加快鋤頭揮動速度10%,-1,7,72,0,1,,0,,"37,1,100",,,,
加快鋤頭揮動速度20%,-1,7,73,0,1,,0,,"37,1,100",,,,
加快鋤頭揮動速度30%,-1,7,74,0,1,,0,,"37,1,100",,,,
澆水保濕概率增加5%,-1,7,75,0,1,,0,,"39,1,50",,,,
澆水保濕概率增加10%,-1,7,76,0,1,,0,,"39,1,100",,,,
