canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],type-int,useLv-int,userType-int
0,"Lumiterra的貨幣
",0,item-icon-10,10,LNCO,1,4,0,0
0,"EXP是經驗值的縮寫，指的是角色或玩家在遊戲中完成任務、擊敗怪物和升級時所獲得的獎勵。EXP可以用來提升角色等級、技能等級，增強角色屬性，提高整體遊戲體驗。在許多遊戲中，EXP是玩家不可或缺且至關重要的資源。
",0,item-icon-11,11,EXP,1,4,0,0
1,"彩票是一種通過抽籤來確定獎品的賭博形式。參與者購買具有數字或符號組合的彩票，希望贏得金錢等獎勵。中獎的彩票是通過隨機抽獎來確定的。儘管如此，許多人仍然喜歡參與彩票活動，因為它們可以帶來刺激和意外的財富，可能改變一個人的生活。
",0,item-icon-12,12,Lottery ticket,1,4,0,1
0,"USDC是USD Coin的縮寫，是一種與美元（USD）掛鉤的穩定幣，以1:1的比例維持，這意味著每發行一個USDC代幣，就有一個等值的美元由受監管的金融機構儲備。USDC旨在為交易、匯款或支付等各種用例提供穩定、安全和透明的數字資產。
",0,item-icon-13,13,USDC,1,4,0,0
1,"電池是一種能夠儲存電能並將其轉化為電力的裝置，通常由正負極、電解質和外殼組成。
",0,item-icon-21,21,battery,1,4,0,1
1,"有人曾在海邊看到這種材料。
它可以用來製作裝備或物品。
-------
這種綠色粘液是一種稀有的原材料，可以用來製作各種戰鬥裝備。它具有極強的黏附性，可以與各種材料結合。
",0,item-icon-30,30,綠色粘液,1,4,1,1
1,"有人曾在海邊看到這種材料。
它可以用來製作裝備或物品。
-------
南瓜藤蔓是一種可以用來製作武器和盔甲的原材料。它們具有堅韌的質地和出色的韌性，在戰鬥中提供可靠的保護和攻擊力。
",0,item-icon-31,31,南瓜藤蔓,1,4,1,1
1,"有人曾在海邊看到這種材料。
它可以用來製作裝備或物品。
-------
這種鐵絲網是一種用於戰鬥的原材料，可以用來製造具有高強度和耐久性的防禦結構或裝備。
",0,item-icon-32,32,鐵絲網,1,4,1,1
1,"有人曾在沙漠中看到這種材料。
它可以用來製作裝備或物品。
-------
礦礦貓尖牙是一種銳利的原材料，可以用來製作武器和盔甲。它們來自生活在礦坑中的貓科動物，具有強大的戰鬥能力和敏捷性。
",0,item-icon-33,33,礦礦貓尖牙,1,4,2,1
1,"有人曾在草原上看到這種材料。
它可以用來製作裝備或物品。
-------
這種輕質薄膜是一種用於戰鬥的原材料，可以用來製造各種防禦裝備和武器。
",0,item-icon-34,34,輕質薄膜,1,4,2,1
