expReward-int[][],id-int,itemReward-int,level-int,progressReset-int,system-int,taskPool-int[][],type-int
"1,1001",20100,25,0,1,2,"64,100",1
"1,1001",20101,26,1,1,2,"64,100",1
"1,5630",20102,6,2,1,2,"65,100",1
"1,19532",20103,7,3,1,2,"66,100",1
"1,51687",20104,8,4,1,2,"147,100",1
"1,114976",20105,9,5,1,2,"148,100",1
"1,226628",20106,10,6,1,2,"149,100",1
"1,408629",20107,10,7,1,2,"149,100",1
"1,688092",20108,10,8,1,2,"149,100",1
"1,1097608",20109,10,9,1,2,"149,100",1
"2,1001",20200,25,0,1,2,"52,100",2
"2,1001",20201,26,1,0,2,"52,100",2
"2,5630",20202,6,2,0,2,"53,100",2
"2,19532",20203,7,3,0,2,"54,100",2
"2,51687",20204,8,4,1,2,"135,100",2
"2,114976",20205,9,5,1,2,"136,100",2
"2,226628",20206,10,6,1,2,"137,100",2
"2,408629",20207,10,7,1,2,"137,100",2
"2,688092",20208,10,8,1,2,"137,100",2
"2,1097608",20209,10,9,1,2,"137,100",2
"3,1001",20300,25,0,1,2,"76,100",3
"3,1001",20301,26,1,1,2,"76,100",3
"3,5630",20302,6,2,1,2,"77,100",3
"3,19532",20303,7,3,1,2,"78,100",3
"3,51687",20304,8,4,1,2,"159,100",3
"3,114976",20305,9,5,1,2,"160,100",3
"3,226628",20306,10,6,1,2,"161,100",3
"3,408629",20307,10,7,1,2,"161,100",3
"3,688092",20308,10,8,1,2,"161,100",3
"3,1097608",20309,10,9,1,2,"161,100",3
"1,1001",10100,24,0,1,1,"55,100;56,100;57,100",1
"1,1001",10101,1,1,1,1,"55,100;56,100;57,100",1
"1,1001",10102,2,2,1,1,"58,100;59,100;60,100",1
"1,1001",10103,3,3,1,1,"61,100;62,100;63,100",1
"1,1001",10104,4,4,1,1,"138,100;139,100;140,100",1
"1,1001",10105,5,5,1,1,"141,100;142,100;143,100",1
"1,1001",10106,46,6,1,1,"144,100;145,100;146,100",1
"1,1001",10107,46,7,1,1,"144,100;145,100;146,100",1
"1,1001",10108,46,8,1,1,"144,100;145,100;146,100",1
"1,1001",10109,46,9,1,1,"144,100;145,100;146,100",1
"2,1001",10200,24,0,1,1,"38,100;41,100;47,100",2
"2,1001",10201,1,1,1,1,"38,100;41,100;47,100",2
"2,200",10202,2,2,1,1,"39,100;42,100;48,100",2
"2,300",10203,3,3,1,1,"40,100;43,100;49,100",2
"2,1001",10204,4,4,1,1,"126,100;129,100;132,100",2
"2,1001",10205,5,5,1,1,"127,100;130,100;133,100",2
"2,1001",10206,46,6,1,1,"128,100;131,100;134,100",2
"2,1001",10207,46,7,1,1,"128,100;131,100;134,100",2
"2,1001",10208,46,8,1,1,"128,100;131,100;134,100",2
"2,1001",10209,46,9,1,1,"128,100;131,100;134,100",2
"3,117",10300,24,0,1,1,"67,100;68,100;69,100",3
"3,117",10301,1,1,1,1,"67,100;68,100;69,100",3
"3,117",10302,2,2,1,1,"70,100;71,100;72,100",3
"3,117",10303,3,3,1,1,"73,100;74,100;75,100",3
"3,117",10304,4,4,1,1,"150,100;151,100;152,100",3
"3,117",10305,5,5,1,1,"153,100;154,100;155,100",3
"3,117",10306,46,6,1,1,"156,100;157,100;158,100",3
"3,117",10307,46,7,1,1,"156,100;157,100;158,100",3
"3,117",10308,46,8,1,1,"156,100;157,100;158,100",3
"3,117",10309,46,9,1,1,"156,100;157,100;158,100",3
