areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,1,0,城鎮,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,2,0,城鎮周邊,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,3,0,雪山,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,4,0,PvEP戰鬥區域,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,5,0,家園,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,6,0,沙灘,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,7,0,紅色森林,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,8,0,黑色森林,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,9,0,風暴沙漠,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,10,0,峽谷,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,11,0,英雄魚雕像,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",中等死亡懲罰（背包物品百分比）,12,1,墓地,3
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,13,0,靈魂歸處,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,14,0,天池山,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,15,0,中央祭台,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,16,0,祭台周邊,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,17,0,冰原,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",中等死亡懲罰（背包物品百分比）,18,1,冰原深處,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,19,0,野外,1
1,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,20,1,初級競技場 1/3,3
2,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,21,1,初級競技場 2/3,3
3,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,22,1,初級競技場 2/3,3
1,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,23,1,中級競技場 1/3,3
2,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,24,1,中級競技場 2/3,3
3,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,25,1,中級競技場 2/3,3
1,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,26,1,高級競技場 1/3,3
2,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,27,1,高級競技場 2/3,3
3,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",輕微死亡懲罰（背包物品百分比）,28,1,高級競技場 2/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,29,0,匹配營地,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,30,0,重生祭壇,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,31,0,挑戰,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,32,0,古老領域 - 火山,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,33,0,古老領域 - 空洞,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,34,0,古老領域 - 遺跡,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",輕微死亡懲罰（背包物品百分比）,35,0,野外,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,36,0,橋樑,1
0,"50,3,1",0,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",中等死亡懲罰（背包物品百分比）,37,1,競技場,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,38,0,每日挑戰,1
1,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,39,1,訓練場 1/3,3
2,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,40,1,訓練場 2/3,3
3,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",無死亡懲罰,41,1,訓練場 3/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,42,0,啟程之地,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,43,0,百年試煉 - 翠綠平原 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,44,0,百層試煉 - 沙漠沙丘 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,45,0,百層試煉 - 雪嶺山脈 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,46,0,百層試煉 - 多風谷地 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,47,0,百層試煉 - 被遺棄的時鐘塔 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,48,0,百層試煉 - 荒廢的城堡 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,49,0,百層試煉 - 熔岩之地 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,50,0,百層試煉 - 虛無群島 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,51,0,百層試煉 - 古老遺跡 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,52,0,百層試煉 - 冰川廣域 ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",No Death Penalty,53,0,百層試煉 - 起源山谷 ,1
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",中等死亡處罰(背包物品百分比),54,0, 火山谷 ,3
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",,55,0, 風車村,3
