canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,maxDifficulty-int,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],seedMaxLimit-int[],chapterIds-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,0,空白,"5000,5000,5000,5000,5000,5000,5000,5000,5000,5000",-1,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,"空
",,"空
",,,,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,0,空白,,-1,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,"空
",,"空
",,,,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,0,空白,,-1,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,"```zh-TW
空",,"空
",,,,,,,
0,160,20000,1,"0,3",DungeonSceneLoading_1_3.jpg,5,花峰,,100,0,3,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,60,120","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3","隐藏在茂密的丛林中，它就像地球上的奇迹。它的岩峰看起来像一排锋利的剑刃，又像花瓣一样。
",185,死亡時有幾率掉落背包中的道具,0;0;0,"0,1440","468,1",,,,
0,40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,5,浮游境界,,160,0,3,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,960","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3",在那片破碎的領域中，一座暗黑堡壘傲然屹立，其邊際懸浮於虛無之間，沒有一絲實體支撐。其充斥著大量危險怪物，生長著許多從未見過的珍稀採集物。,186,死亡時有幾率掉落背包中的道具,0;0;0,"0,1440","467,1",,,,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,5,遠古靈域,,640,0,3,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3",與熾熱的火焰生物搏鬥；在黑暗和詭異的環境中戰鬥，防備虛空生物的襲擊；進入遠古遺跡，挖掘隱藏在古老遺跡深處的秘密和寶藏。勇敢的冒險者，你準備好面對這場挑戰了嗎？,187,死亡時有幾率掉落背包中的道具,0;0;0,"0,1440","658,1",,,,
1,0,21001,0,"1,3",DungeonSceneLoading_7_9.jpg,0,初級競技場,,-1,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","奖励
- 击败怪物或采集: 玩家将获得由图腾投资的Token奖励。
- 消灭其他玩家: 玩家可以领取被击败对手的未结算LUASUD奖励。
- 击败Boss: 玩家可以获得游戏进展所必需的神秘特殊材料。
规则概述
- 关卡结构: 地下城由3个混乱关卡组成，每个关卡都有自己的挑战。
- 安全区: 关卡内有安全区，随着时间的推移，安全区将会缩小，迫使玩家进行对抗。
- 三种类型的门:
 - 挑战之门: 勇敢者可以通过这扇门进入下一个冒险关卡。
 - 逃离之门: 退出地下城并放弃任何未结算的Token奖励。
 - 定居之门: 在一定比例下定居并收集Token奖励。",,死亡時有幾率掉落背包中的道具,0;0,"0,0","659,1","8,24",,,
1,0,21002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0,中級競技場,,-1,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","奖励
- 击败怪物或采集: 玩家将获得由图腾投资的Token奖励。
- 消灭其他玩家: 玩家可以领取被击败对手的未结算LUASUD奖励。
- 击败Boss: 玩家可以获得游戏进展所必需的神秘特殊材料。
规则概述
- 关卡结构: 地下城由3个混乱关卡组成，每个关卡都有自己的挑战。
- 安全区: 关卡内有安全区，随着时间的推移，安全区将会缩小，迫使玩家进行对抗。
- 三种类型的门:
 - 挑战之门: 勇敢者可以通过这扇门进入下一个冒险关卡。
 - 逃离之门: 退出地下城并放弃任何未结算的Token奖励。
 - 定居之门: 在一定比例下定居并收集Token奖励。",,死亡時有幾率掉落背包中的道具,0;0,"0,0","660,1","8,24",,,
1,0,21003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0,高級競技場,,-1,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","奖励
- 击败怪物或采集: 玩家将获得由图腾投资的Token奖励。
- 消灭其他玩家: 玩家可以领取被击败对手的未结算LUASUD奖励。
- 击败Boss: 玩家可以获得游戏进展所必需的神秘特殊材料。
规则概述
- 关卡结构: 地下城由3个混乱关卡组成，每个关卡都有自己的挑战。
- 安全区: 关卡内有安全区，随着时间的推移，安全区将会缩小，迫使玩家进行对抗。
- 三种类型的门:
 - 挑战之门: 勇敢者可以通过这扇门进入下一个冒险关卡。
 - 逃离之门: 退出地下城并放弃任何未结算的Token奖励。
 - 定居之门: 在一定比例下定居并收集Token奖励。",,死亡時有幾率掉落背包中的道具,0;0,"0,0","661,1","8,24",,,
1,0,22001,0,"1,3",DungeonSceneLoading_7_9.jpg,0,初級角鬥場,,-1,0,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging","奖励
- 击败怪物或采集: 玩家将获得由图腾投资的Token奖励。
- 消灭其他玩家: 玩家可以领取被击败对手的未结算LUASUD奖励。
- 击败Boss: 玩家可以获得游戏进展所必需的神秘特殊材料。
规则概述
- 关卡结构: 地下城由3个混乱关卡组成，每个关卡都有自己的挑战。
- 安全区: 关卡内有安全区，随着时间的推移，安全区将会缩小，迫使玩家进行对抗。
- 三种类型的门:
 - 挑战之门: 勇敢者可以通过这扇门进入下一个冒险关卡。
 - 逃离之门: 退出地下城并放弃任何未结算的Token奖励。
 - 定居之门: 在一定比例下定居并收集Token奖励。",,死亡時有幾率掉落背包中的道具,0;0,"0,0","659,1","3,24",,,
