assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,lv-int,maxActionValue-int,name-string,oreDef-int,requiredProficiency-int,treeDef-int
2D_caijiziyuan_shumu01_1,27,20,0,6,2D_caijiziyuan_shumu01_1,4,1,750,普通木材,0,100,100
Slice_12,27,20,0,6,Slice_12,5,1,750,普通木材,0,100,100
2D_caijiziyuan_xianrenzhang,28,40.33081697,0,6,2D_caijiziyuan_xianrenzhang,6,2,1500,沙漠樹木材,0,200,200
2D_caijiziyuan_hongguoshi,34,15,300,5,2D_caijiziyuan_hongguoshi,7,3,2250,龍舌蘭,0,300,0
2D_caijiziyuan_shikuai_3,26,20,0,7,2D_caijiziyuan_shikuai_3,8,1,750,石頭,100,100,0
2D_caijiziyuan_heitikuang,30,40.33081697,0,7,2D_caijiziyuan_heitikuang,9,2,1500,黑鐵礦,200,200,0
2D_caijiziyuan_hongbaoshi,31,59.72663478,0,7,2D_caijiziyuan_hongbaoshi,11,3,2250,紅色水晶礦,300,300,0
Slice_11,32,5,100,5,Slice_11,14,1,750,植物纖維,0,100,0
2D_caijiziyuan_bingyuanzhiwu,33,10,200,5,2D_caijiziyuan_bingyuanzhiwu,15,2,1500,冰原菇,0,200,0
2D_caijiziyuan_anheimucai,29,59.72663478,0,6,2D_caijiziyuan_anheimucai,16,3,2250,暗黑木材,0,300,300
homeresource-19,32,5,100,5,2D_caijiziyuan_cao2 ,19,1,750,植物纖維,0,100,0
homeresource-20,0,5,100,5,2D_caijiziyuan_cao1,20,1,750,植物纖維,0,100,0
2D_caijiziyuan_cao3,32,5,100,5,2D_caijiziyuan_cao3,21,1,750,植物纖維,0,100,0
homeresource-22,0,5,100,5,2D_caijiziyuan_zhuangshicaoye_4,22,1,750,,0,100,0
homeresource-24,0,5,100,5,2D_caijiziyuan_zhuangshicaoye_3,24,1,750,,0,100,0
homeresource-25,0,5,100,5,2D_caijiziyuan_zhuangshicaoye_2,25,1,750,,0,100,0
homeresource-26,0,5,100,5,2D_caijiziyuan_zhuangshicaoye_1,26,1,750,,0,100,0
homeresource-27,0,5,100,5,2D_caijiziyuan_zhuangshikucaoye_4,27,1,750,,0,100,0
homeresource-28,0,5,100,5,2D_caijiziyuan_zhuangshikucaoye_3,28,1,750,,0,100,0
homeresource-29,0,20,0,6,2D_caijiziyuan_kushu_1,29,1,750,普通木材,0,100,100
homeresource-30,0,5,100,5,2D_caijiziyuan_kucao1,30,1,750,植物纖維,0,100,0
homeresource-31,0,5,100,5,2D_caijiziyuan_kucao2,31,1,750,植物纖維,0,100,0
homeresource-32,0,5,100,5,2D_caijiziyuan_kucao3,32,1,750,植物纖維,0,100,0
homeresource-33,0,5,100,5,2D_caijiziyuan_kucao4,33,1,750,植物纖維,0,100,0
2D_caijiziyuan_shikuai_4,26,20,0,7,2D_caijiziyuan_shikuai_4,34,1,750,石頭,100,100,0
homeresource-35,27,20,0,6,2d_shu_06,35,1,750,普通木材,0,100,100
