dropId-int,exp-int,functionType-int,growRes-string[],growTotalTime-int,harvestRes-string,id-int,lv-int,needWaterValue-int,plantingDifficulty-int,requiredFertilizer-int,requirementProficiency-int,witherTime-int,functionAvatar-string
16,15,0,"seed-146-p1,seed-146-p2,seed-146-p3,seed-146-p4",30,seed-146-final,146,1,100,600,82.73451517,400,604800,
17,15,0,"seed-147-p1,seed-147-p2,seed-147-p3",30,seed-147-final,147,1,100,600,82.73451517,300,604800,
18,15,0,"seed-148-p1,seed-148-p2,seed-148-p3",30,seed-148-final,148,1,100,600,82.73451517,300,604800,
19,21.21320344,0,"seed-149-p1,seed-149-p2,seed-149-p3",60,seed-149-final,149,2,150,1384.615385,101.3286731,600,604800,
20,21.21320344,0,"seed-150-p1,seed-150-p2,seed-150-p3,seed-150-p4",60,seed-150-final,150,2,150,1384.615385,101.3286731,800,604800,
21,21.21320344,0,"seed-151-p1,seed-151-p2,seed-151-p3",60,seed-151-final,151,2,150,1384.615385,101.3286731,600,604800,
22,30,0,"seed-152-p1,seed-152-p2,seed-152-p3,seed-152-p4",90,seed-152-final,152,3,200,3000,117.0042734,1200,604800,
23,30,0,"seed-153-p1,seed-153-p2,seed-153-p3",90,seed-153-final,153,3,200,3000,117.0042734,900,604800,
24,30,0,"seed-154-p1,seed-154-p2,seed-154-p3,seed-154-p4",90,seed-154-final,154,3,200,3000,117.0042734,1200,604800,
65,42.42640687,0,"seed-413-p1,seed-413-p2,seed-413-p3",0,seed-413-final,413,4,250,5000,130.8147545,1200,604800,
66,42.42640687,0,"seed-414-p1,seed-414-p2,seed-414-p3",0,seed-414-final,414,4,250,5000,130.8147545,1200,604800,
67,42.42640687,0,"seed-415-p1,seed-415-p2,seed-415-p3",0,seed-415-final,415,4,250,5000,130.8147545,1200,604800,
68,60,0,"seed-416-p1,seed-416-p2,seed-416-p3",0,seed-416-final,416,5,300,6000,143.3003838,1500,604800,
69,60,0,"seed-417-p1,seed-417-p2,seed-417-p3",0,seed-417-final,417,5,300,6000,143.3003838,1500,604800,
70,60,0,"seed-418-p1,seed-418-p2,seed-418-p3",0,seed-418-final,418,5,300,6000,143.3003838,1500,604800,
71,84.85281374,0,"seed-419-p1,seed-419-p2,seed-419-p3,seed-419-p4",0,seed-419-final,419,6,350,8400,154.7821049,2400,604800,
72,84.85281374,0,"seed-420-p1,seed-420-p2,seed-420-p3,seed-420-p4",0,seed-420-final,420,6,350,8400,154.7821049,2400,604800,
73,84.85281374,0,"seed-421-p1,seed-421-p2,seed-421-p3,seed-421-p4",0,seed-421-final,421,6,350,8400,154.7821049,2400,604800,
95,120,0,"seed-614-p1,seed-614-p2,seed-614-p3,seed-614-p4",0,seed-614-final,614,7,400,9600,165.4690303,2800,604800,
96,120,0,"seed-615-p1,seed-615-p2,seed-615-p3,seed-615-p4",0,seed-615-final,615,7,400,9600,165.4690303,2800,604800,
97,120,0,"seed-616-p1,seed-616-p2,seed-616-p3,seed-616-p4",0,seed-616-final,616,7,400,9600,165.4690303,2800,604800,
107,169.7056275,0,"seed-617-p1,seed-617-p2,seed-617-p3,seed-617-p4",0,seed-617-final,617,8,450,13500,175.5064101,3200,604800,
108,169.7056275,0,"seed-618-p1,seed-618-p2,seed-618-p3,seed-618-p4",0,seed-618-final,618,8,450,13500,175.5064101,3200,604800,
109,169.7056275,0,"seed-619-p1,seed-619-p2,seed-619-p3,seed-619-p4",0,seed-619-final,619,8,450,13500,175.5064101,3200,604800,
119,240,0,"seed-620-p1,seed-620-p2,seed-620-p3,seed-620-p4",0,seed-620-final,620,9,500,15000,185,3600,604800,
120,240,0,"seed-621-p1,seed-621-p2,seed-621-p3,seed-621-p4",0,seed-621-final,621,9,500,15000,185,3600,604800,
121,240,0,"seed-622-p1,seed-622-p2,seed-622-p3,seed-622-p4",0,seed-622-final,622,9,500,15000,185,3600,604800,
0,0,1,seed-692-p1,30,,692,1,100,10,10,3,0,Totem/TotemTest
0,0,1,seed-719-p1,0,seed-719-final,719,1,100,10,10,3,0,Totem/TotemA
0,0,1,seed-720-p1,0,seed-720-final,720,1,100,10,10,3,0,Totem/TotemB
0,0,1,seed-721-p1,0,seed-721-final,721,1,100,10,10,3,0,Totem/TotemC
0,0,1,seed-722-p1,0,seed-722-final,722,1,100,10,10,3,0,Totem/TotemD
0,0,1,seed-723-p1,0,seed-723-final,723,1,100,10,10,3,0,Totem/TotemE
