bossEntityList-int[],entityList-int[][],entityMaximum-int,entityType-int,id-int,name-string,sceneAreaId-int,trapEntityList-int[][],desc-string,punishDesc-string
"1000,95,2,1000,2000","1000,111,2,1000,2000",6,1,1,@@[1]Ujian-Monster ,0,,,
"1000,112,2,1000,2000",,6,2,2,[2]Ujian-Sumber ,0,,,
"1000,832,2,1000,2000","1000,146,2,1000,2000",6,3,3,[3]Ujian-Biji ,0,,,
"1000,95,2,1000,2000","1000,111,2,1000,2000",6,1,4,[4]Ujian-Monster ,0,,,
"1000,112,2,1000,2000",,6,2,5,[5]Ujian-Sumber ,0,,,
"1000,832,2,1000,2000","1000,146,2,1000,2000",6,3,6,[6]Ujian-Biji ,0,,,
,"1000,6,2,1000,1100;1000,7,2,1000,1100;1000,8,2,1000,1100",6,1,7,[7]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1100,1200;1000,7,2,1100,1200;1000,8,2,1100,1200",6,1,8,[8]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1200,1300;1000,7,2,1200,1300;1000,8,2,1200,1300",6,1,9,[9]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1300,1400;1000,7,2,1300,1400;1000,8,2,1300,1400",6,1,10,[10]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,1000,1000",,6,1,11,[11]Tahap Cabaran Bos Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1500,1600;1000,7,2,1500,1600;1000,8,2,1500,1600",6,1,12,[12]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1600,1700;1000,7,2,1600,1700;1000,8,2,1600,1700",6,1,13,[13]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1700,1800;1000,7,2,1700,1800;1000,8,2,1700,1800",6,1,14,[14]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1800,1900;1000,7,2,1800,1900;1000,8,2,1800,1900",6,1,15,[15]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,1500,1500",,6,1,16,[16]Tahap Cabaran Bos Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2000,2100;1000,11,2,2000,2100;1000,10,2,2000,2100",6,1,17,[17]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2100,2200;1000,11,2,2100,2200;1000,10,2,2100,2200",6,1,18,[18]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2200,2300;1000,11,2,2200,2300;1000,10,2,2200,2300",6,1,19,[19]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2300,2400;1000,11,2,2300,2400;1000,10,2,2300,2400",6,1,20,[20]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,2000,2000",,6,1,21,[21]Tahap Cabaran Bos Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2500,2600;1000,11,2,2500,2600;1000,10,2,2500,2600",6,1,22,[22]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2600,2700;1000,11,2,2600,2700;1000,10,2,2600,2700",6,1,23,[23]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2700,2800;1000,11,2,2700,2800;1000,10,2,2700,2800",6,1,24,[24]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2800,2900;1000,11,2,2800,2900;1000,10,2,2800,2900",6,1,25,[25]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,2500,2500",,6,1,26,[26]Tahap Cabaran Bos Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3000,3100;1000,13,2,3000,3100;1000,14,2,3000,3100",6,1,27,[27]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3100,3200;1000,13,2,3100,3200;1000,14,2,3100,3200",6,1,28,[28]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3200,3300;1000,13,2,3200,3300;1000,14,2,3200,3300",6,1,29,[29]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3300,3400;1000,13,2,3300,3400;1000,14,2,3300,3400",6,1,30,[30]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,55,1,3000,3000",,6,1,31,[31]Tahap Cabaran Bos Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3500,3600;1000,13,2,3500,3600;1000,14,2,3500,3600",6,1,32,[32]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3600,3700;1000,13,2,3600,3700;1000,14,2,3600,3700",6,1,33,[33]Tahap Cabaran Tempur ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3700,3800;1000,13,2,3700,3800;1000,14,2,3700,3800",6,1,34,@@[1]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,12,2,3800,3900;1000,13,2,3800,3900;1000,14,2,3800,3900",6,1,35,[2]Tahap Cabaran Bos Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,55,1,3500,3500",,6,1,36,[3]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4000,4100;1000,97,2,4000,4100;1000,98,2,4000,4100",6,1,37,[4]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4100,4200;1000,97,2,4100,4200;1000,98,2,4100,4200",6,1,38,[5]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4200,4300;1000,97,2,4200,4300;1000,98,2,4200,4300",6,1,39,[6]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4300,4400;1000,97,2,4300,4400;1000,98,2,4300,4400",6,1,40,[7]Tahap Cabaran Bos Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,37,1,4000,4000",,6,1,41,[8]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4500,4600;1000,97,2,4500,4600;1000,98,2,4500,4600",6,1,42,[9]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4600,4700;1000,97,2,4600,4700;1000,98,2,4600,4700",6,1,43,[10]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4700,4800;1000,97,2,4700,4800;1000,98,2,4700,4800",6,1,44,[11]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,96,2,4800,4900;1000,97,2,4800,4900;1000,98,2,4800,4900",6,1,45,[12]Tahap Cabaran Bos Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,37,1,4500,4500",,6,1,46,[13]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,101,2,5000,5100;1000,99,2,5000,5100;1000,100,2,5000,5100",6,1,47,[14]Tahap Cabaran Pertempuran,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
