dailyItemList-int[][],desc-string,distributionWeight-int[],id-int,isActive-bool,levelRangeIdx-int,lotteryItem-int,name-string,talentType-int
"30,1,1006;31,1,1006;32,1,1006;33,1,503;34,1,503;35,1,503;36,1,252;37,1,252;38,1,252",1-3 Kolam Pertempuran,"7500,2500",1,0,0,815,1-3 Kolam Pertempuran,2
"30,1,1006;31,1,1006;32,1,1006;33,1,503;34,1,503;35,1,503;36,1,252;37,1,252;38,1,252;365,1,189;366,1,189;367,1,189;368,1,95;369,1,95;370,1,95;371,1,48;372,1,48;373,1,48", 1-6 Kolam Pertempuran,"7500,2500",2,0,1,816, 1-6 Kolam Pertempuran,2
"30,1,1006;31,1,1006;32,1,1006;33,1,503;34,1,503;35,1,503;36,1,252;37,1,252;38,1,252;365,1,189;366,1,189;367,1,189;368,1,95;369,1,95;370,1,95;371,1,48;372,1,48;373,1,48;491,1,48;492,1,48;493,1,48;503,1,24;504,1,24;505,1,24;515,1,12;516,1,12;517,1,12", 1-9 Kolam Pertempuran,"7500,2500",3,0,2,817, 1-9 Kolam Pertempuran,2
"58,1,1006;62,1,1006;66,1,1006;59,1,503;63,1,503;67,1,503;60,1,252;64,1,252;68,1,252", 1-3 Kolam Pengumpulan,"7500,2500",4,0,0,818, 1-3 Kolam Pengumpulan,3
"58,1,1006;62,1,1006;66,1,1006;59,1,503;63,1,503;67,1,503;60,1,252;64,1,252;68,1,252;374,1,189;375,1,189;376,1,189;377,1,95;378,1,95;379,1,95;380,1,48;381,1,48;382,1,48", 1-6 Kolam Pengumpulan,"7500,2500",5,0,1,819, 1-6 Kolam Pengumpulan,3
"58,1,1006;62,1,1006;66,1,1006;59,1,503;63,1,503;67,1,503;60,1,252;64,1,252;68,1,252;374,1,189;375,1,189;376,1,189;377,1,95;378,1,95;379,1,95;380,1,48;381,1,48;382,1,48;494,1,48;495,1,48;496,1,48;506,1,24;507,1,24;508,1,24;518,1,12;519,1,12;520,1,12", 1-9 Kolam Pengumpulan,"7500,2500",6,0,2,820, 1-9 Kolam Pengumpulan,3
"70,1,503;71,1,503;72,1,503;73,1,252;74,1,252;75,1,252;76,1,126;77,1,126;78,1,126;177,1,503;178,1,503;179,1,503;180,1,252;181,1,252;182,1,252;183,1,126;184,1,126;185,1,126", 1-3 Kolam Pertanian dan Penternakan,"7500,2500",7,0,0,821, 1-3 Kolam Pertanian dan Penternakan,1
"70,1,503;71,1,503;72,1,503;73,1,252;74,1,252;75,1,252;76,1,126;77,1,126;78,1,126;383,1,95;384,1,95;385,1,95;386,1,48;387,1,48;388,1,48;389,1,24;390,1,24;391,1,24;177,1,503;178,1,503;179,1,503;180,1,252;181,1,252;182,1,252;183,1,126;184,1,126;185,1,126;392,1,95;393,1,95;394,1,95;395,1,48;396,1,48;397,1,48;398,1,24;399,1,24;400,1,24", 1-6 Kolam Pertanian dan Penternakan,"7500,2500",8,0,1,822, 1-6 Kolam Pertanian dan Penternakan,1
"70,1,503;71,1,503;72,1,503;73,1,252;74,1,252;75,1,252;76,1,126;77,1,126;78,1,126;383,1,95;384,1,95;385,1,95;386,1,48;387,1,48;388,1,48;389,1,24;390,1,24;391,1,24;497,1,24;498,1,24;499,1,24;509,1,12;510,1,12;511,1,12;521,1,6;522,1,6;523,1,6;177,1,503;178,1,503;179,1,503;180,1,252;181,1,252;182,1,252;183,1,126;184,1,126;185,1,126;392,1,95;393,1,95;394,1,95;395,1,48;396,1,48;397,1,48;398,1,24;399,1,24;400,1,24;500,1,24;501,1,24;502,1,24;512,1,12;513,1,12;514,1,12;524,1,6;525,1,6;526,1,6", 1-9 Kolam Pertanian dan Penternakan,"7500,2500",9,0,2,823, 1-9 Kolam Pertanian dan Penternakan,1
"30,1,755;31,1,755;32,1,755;33,1,378;34,1,378;35,1,378;36,1,189;37,1,189;38,1,189;893,1,54;894,1,54;895,1,54;896,1,54;897,1,54;898,1,54;899,1,54;783,1,409;784,1,205;785,1,102;792,1,409;793,1,205;794,1,102",@@[1-3] Kolam Pertempuran V2 ,"7500,2500",11,1,0,1012,@@[1-3] Kolam Pertempuran V2 ,2
