desc-string,id-int,itemId-int,petId-int,text-string
金属狗宠物蛋,1,665,6,0
南瓜先生宠物蛋,2,666,7,0
仙人掌战士宠物蛋,3,667,8,0
嗡嗡蜂宠物蛋,4,668,11,0
叶状潜伏者宠物蛋,5,669,10,0
矿矿猫宠物蛋,6,670,9,0
混沌幽灵宠物蛋,7,671,12,0
深红猛击者宠物蛋,8,672,13,0
冰霜爪牙宠物蛋,9,673,14,0
愤怒树桩宠物蛋,10,674,28,0
橙叶蛋头宠物蛋,11,675,27,0
骷髅士兵宠物蛋,12,676,26,0
黑化雪精灵宠物蛋,13,677,31,0
暗黑巨目宠物蛋,14,678,30,0
骷髅队长宠物蛋,15,679,29,0
冰球巨龟宠物蛋,16,680,32,0
雪兔巫师宠物蛋,17,681,34,0
骷髅弓箭手宠物蛋,18,682,33,0
炫光小霸王宠物蛋,19,683,58,0
火岩守卫宠物蛋,20,684,57,0
巨岩守卫宠物蛋,21,685,59,0
黄纹岩怪宠物蛋,22,686,64,0
智眸鹰守宠物蛋,23,687,62,0
星辰幼龙宠物蛋,24,688,63,0
谜光古灵宠物蛋,25,689,68,0
绿石雕灵宠物蛋,26,690,69,0
笑面刺盾宠物蛋,27,691,67,0
Totem Totem A,28,957,0,Totem Totem A
Totem Totem B,29,958,0,Totem Totem B
Totem Totem C,30,959,0,Totem Totem C
Totem Totem D,31,960,0,Totem Totem D
Totem Totem E,32,961,0,Totem Totem E
Totem Base A,33,963,0,Totem Base A
Totem Base B,34,964,0,Totem Base B
Totem Base C,35,965,0,Totem Base C
Totem Base D,36,966,0,Totem Base D
Totem Base E,37,967,0,Totem Base E
Totem Roof A,38,968,0,Totem Roof A
Totem Roof B,39,969,0,Totem Roof B
Totem Roof C,40,970,0,Totem Roof C
Totem Roof D,41,971,0,Totem Roof D
Totem Roof E,42,972,0,Totem Roof E
