actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,Kale,1
2,1,2,怪物攻击力增强了,2, Öfke,1
3,1,2,玩家防御值削弱了,3, Lanet,1
4,1,2,玩家攻击力削弱了,4, Zayıflık,1
5,1,2,怪物最大血量增加了,5, Kan Kurbanı,1
6,1,2,怪物防御值削弱了,6, Zırh Kırma,1
7,1,2,怪物攻击力削弱了,7, Körletme,1
8,1,2,玩家防御值增强了,8, Koruma,1
9,1,2,玩家攻击力增强了,9, Cesaretlendirme,1
10,1,2,怪物最大血量减少了,10, Destekleme,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, Zırh Kırma,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, Körletme,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, Koruma,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, Cesaretlendirme,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, Destekleme,2
11,1,1,减益,16, Savaş Rastgele Olayı,1
12,1,3,增益,17, Savaş Rastgele Olayı,1
13,1,1,减益,18, Toplama Rastgele Olayı,1
14,1,3,增益,19, Toplama Rastgele Olayı,1
15,1,5,减益,20, Tarımsal Rastgele Olay,1
16,1,7,增益,21, Tarımsal Rastgele Olay,1
"37,38",1,8,变化,22, Temel Toplama Olayı,1
39,2,"5,6",种田副本削减成长时间,23, Hızlandırılmış büyüme,1
