areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,1,0,Ville,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,2,0,Ville environnante,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),3,0,Montagne enneigée,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),4,0,Zone de combat PvE,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,5,0,Maison,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,6,0,Plage,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,7,0,Forêt rouge,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),8,0,Forêt noire,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,9,0,Désert tempétueux,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,10,0,Canyon,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),11,0,Statue du poisson héroïque,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",Peine de mort modérée (pourcentage des objets du sac à dos),12,1,Cimetière,3
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),13,0,Repos de l'âme,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),14,0,Montagne du lac céleste,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,15,0,Autel central,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),16,0,Autel environnant,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère peine de mort (pourcentage des objets du sac à dos),17,0,Plaine de glace,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",Peine de mort modérée (pourcentage des objets du sac à dos),18,1,Profondeurs de la plaine de glace,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,19,0,Nature sauvage,1
1,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Peine de mort lourde (pourcentage des objets du sac à dos),20,1,Arène novice 1/3,3
2,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Peine de mort lourde (pourcentage des objets du sac à dos),21,1,Arène novice 2/3,3
3,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Peine de mort lourde (pourcentage des objets du sac à dos),22,1,Arène novice 3/3,3
1,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Peine de mort lourde (pourcentage des objets du sac à dos),23,1,Arène intermédiaire 1/3,3
2,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Peine de mort lourde (pourcentage des objets du sac à dos),24,1,Arène intermédiaire 2/3,3
3,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Peine de mort lourde (pourcentage des objets du sac à dos),25,1,Arène intermédiaire 3/3,3
1,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Lourde Pénalité de Mort (Pourcentage des objets du sac à dos),26,1, Arène avancée 1/3,3
2,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Lourde Pénalité de Mort (Pourcentage des objets du sac à dos),27,1, Arène avancée 2/3,3
3,"30,20,25",7,"100,20,20;100,15,15;80,15,15;80,15,15;30,15,15;30,15,15",Lourde Pénalité de Mort (Pourcentage des objets du sac à dos),28,1, Arène avancée 3/3,3
