canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],resourceInstructions-int[],subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int,boothFees-int
"1,3,4",1,"Quelqu'un a déjà vu ce matériau au bord de la mer.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce limon vert est une matière première rare qui peut être utilisée pour fabriquer divers équipements de combat. Il a une adhérence extrêmement forte et peut se lier à une variété de matériaux.
",0,item-icon-30,30,Lv 1 Slime vert,1,6,0,2,"1,0",1,4,1,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau au bord de la mer.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Les vignes de citrouille sont une matière première qui peut être utilisée pour fabriquer des armes et des armures. Elles ont une texture résistante et une excellente résistance, offrant une protection fiable et une puissance d'attaque lors des combats.
",0,item-icon-31,31,Lv 1 Vignes de citrouille,1,5,0,2,"1,0",1,4,1,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau au bord de la mer.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce treillis métallique est une matière première utilisée pour le combat, qui peut être utilisée pour fabriquer des structures défensives ou des équipements à haute résistance et durabilité.
",0,item-icon-32,32,Lv 1 Treillis métallique,1,4,0,2,"1,0",1,4,1,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans le désert.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Les crocs de chat des mines sont une matière première tranchante qui peut être utilisée pour fabriquer des armes et des armures. Ils proviennent d'animaux félins qui vivent dans les mines et possèdent de fortes capacités de combat et d'agilité.
",0,item-icon-33,33,Lv 2 Croc tranchant du chat minier,1,7,0,2,2,1,4,2,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans les prairies.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce film léger est une matière première utilisée pour le combat et peut être utilisé pour fabriquer divers équipements de défense et armes.
",0,item-icon-34,34,Lv 2 Film mince et léger,1,8,0,2,2,1,4,2,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans le canyon.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
La couronne de démon d'herbe est un matériau de combat de deuxième niveau fabriqué à partir de la tête des démons d'herbe et possède de puissantes capacités de combat.
",0,item-icon-35,35,Lv 2 Couronne de démon d'herbe,1,9,0,2,2,1,4,2,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans la forêt noire.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette griffe en crochet est faite de métal dur, très tranchante, adaptée à une utilisation en combat. Sa forme est mince et elle peut facilement pénétrer la défense de l'ennemi.
",0,item-icon-36,36,Lv 3 Griffe crochue et mince,1,10,0,2,3,1,4,3,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans la forêt rouge.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
La fourrure rouge est une fourrure haut de gamme avec d'excellentes performances défensives, adaptée à la fabrication d'équipements de combat. C'est une matière première rare avec une difficulté de collecte élevée.
",0,item-icon-37,37,Lv 3 Fourrure cramoisie,1,11,0,2,3,1,4,3,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau sur la montagne enneigée.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Il s'agit d'une matière première rare qui peut être obtenue lors des combats. Elle a l'apparence de la glace et de la neige, avec une texture duveteuse qui donne envie de la toucher.
",0,item-icon-38,38,Lv 3 Flocon de neige glacé,1,12,0,2,3,1,4,3,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre puissance d'attaque en combat
-------
Une arme tranchante et solide fabriquée à partir de pierre solide, parfaite pour le combat rapproché. Son poids et son équilibre en font une arme facile à manier, infligeant des coups puissants avec précision.
",0,item-icon-40,40,Lv 1 Épée en pierre,1,264,0,2,999,0,1,1,1,
