armatureRes-string,attackSound-string,deathSound-string,desc-string,hurtedCritSound-string,hurtedSound-string,id-int,patrolRadius-int,patrolSpd-int,idleSound-string,aiName-string,patrolPath-string
boy_armature_SkeletonData,GGGrasslands - Box Destroy (Split) - Hit_mp3,GGGrasslands - Death_mp3,男玩家,GGGrasslands - Jump (Land)_mp3,GGGrasslands - Hit 2_mp3,1,0,0,,,
boy_armature_SkeletonData,GGGrasslands - Box Destroy (Split) - Hit_mp3,GGGrasslands - Death_mp3,女玩家,GGGrasslands - Jump (Land)_mp3,GGGrasslands - Hit 2_mp3,2,0,0,,,
wildboar,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Boar,GGGrasslands - Hit 2_mp3,meethited_mp3,3,0,0,wildboarout_mp3,,
grape_dog,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Metal Mutt,GGGrasslands - Hit 2_mp3,meethited_mp3,10,5,1,,MonsterAI-Attack-Grape,
pumpkin,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Pumpkin Fiend,GGGrasslands - Hit 2_mp3,meethited_mp3,11,5,1,,MonsterAI-Spd-Pumpkin,
cactus,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Cactus Warrior,GGGrasslands - Hit 2_mp3,meethited_mp3,12,5,1,,MonsterAI-Def-Cactus,
big_Dryad,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Big Dryad,GGGrasslands - Hit 2_mp3,meethited_mp3,13,0,0,,,
bigwolfking,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,WolfKing,GGGrasslands - Hit 2_mp3,meethited_mp3,14,0,0,,,
Spine GameObject (pang),,,Pang,,,15,0,0,,,
Spine GameObject (hunhun),,,Hun,,,16,0,0,,,
crystal_lion,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Buzz Buddy,GGGrasslands - Hit 2_mp3,meethited_mp3,27,5,1,,MonsterAI-Spd-BuzzBuddy,
Mine_cat,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Mine Cat,GGGrasslands - Hit 2_mp3,meethited_mp3,28,5,1,,MonsterAI-Def-MineCat,
Crystalback_Beast,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Leafy Lurker,GGGrasslands - Hit 2_mp3,meethited_mp3,29,5,1,,MonsterAI-Attack-LeafLurker,
Spine_Monster_FrostyPaws,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Frosty Paw,GGGrasslands - Hit 2_mp3,meethited_mp3,31,5,1,,MonsterAI-Def-FrostyPow,
Tramp-Beach,,,流浪汉-海边,,,32,0,0,,,
Blacksmith-MainTown,,,铁匠-主城,,,33,0,0,,,
Mayor-MainTown,,,镇长-主城,,,34,0,0,,,
Pharmacist-MainTown,,,药剂师-主城,,,35,0,0,,,
Spine_Monster_CrimsonGnasher,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Crimson Gnasher,GGGrasslands - Hit 2_mp3,meethited_mp3,36,5,1,,MonsterAI-Attack-Crimson,
Spine_Monster_ChaosWraith,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Chaos Wraith,GGGrasslands - Hit 2_mp3,meethited_mp3,37,5,1,,MonsterAI-Spd-ChaosWraith,
Spine_NPC_Quincy,,,NPC Quincy,,,38,0,1,,NPCAI-Wild-Quincy,Wild-Quincy
Spine_NPC_Terrance,,,NPC Terrance,,,39,0,0,,,
Spine_NPC_Silas,,,Npc Silas,,,40,0,0,,,
Spine_NPC_Garth,,,NPC Garth,,,41,0,1,,,Maintown-Garth
Spine_NPC_Nash,,,NPC Nash,,,42,0,0,,,
Spine_NPC_Gunner,,,NPC Gunner,,,43,0,0,,,
Spine_NPC_Maximus,,,NPC Maximus,,,44,0,0,,,
Spine_NPC_Nolan,,,NPC Nolan,,,46,0,1,,NPCAI-Maintown-Nolan,Maintown-Nolan
Spine_NPC_Lucas,,,NPC Lucas,,,47,0,0,,,
Spine_NPC_Liam,,,NPC Liam,,,48,0,0,,,
Spine_NPC_Drakonar,,,NPC Drakonar,,,49,0,1,,NPCAI-Wild-Drakonar,Wild-Drakonar
Spine_NPC_Torvald,,,NPC Torvald,,,50,0,1,,NPCAI-Wild-Torvald,Wild-Torvald
Cuckoo_Boss,,,NPC Cuckoo Boss,,,51,0,1,,NPCAI-Maintown-Cuckoo,Maintown-Cuckoo
Spine_NPC_Victor,,,NPC Victor,,,52,0,0,,,
Spine_NPC_Magnus,,,NPC Magnus,,,53,0,0,,,
Spine_NPC_Charlie,,,NPC Charlie,,,54,0,0,,,
Spine_NPC_Lily,,,NPC Lily,,,55,0,0,,,
Spine_Monster_CyberRaze,,,Monster_CyberRaze,,,56,5,1,,MonsterAI-Ranged-CyberRaze,
Spine_Monster_FrostyLord,,,寒霜领主,,,57,5,1,,MonsterAI-Warrior-FrostyLord,
Monster_lv4_1,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv4_1,GGGrasslands - Hit 2_mp3,meethited_mp3,58,5,1,,MonsterAI-Warrior-lv4,
Monster_lv4_2,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv4_2,GGGrasslands - Hit 2_mp3,meethited_mp3,59,5,1,,MonsterAI-Tank-lv4-1,
