dailyItemList-int[][],desc-string,distributionWeight-int[],id-int,isActive-bool,levelRangeIdx-int,lotteryItem-int,name-string,talentType-int
"30,1,1006;31,1,1006;32,1,1006;33,1,503;34,1,503;35,1,503;36,1,252;37,1,252;38,1,252",1-3 전투 풀,"7500,2500",1,0,0,815,1-3 전투 풀,2
"30,1,1006;31,1,1006;32,1,1006;33,1,503;34,1,503;35,1,503;36,1,252;37,1,252;38,1,252;365,1,189;366,1,189;367,1,189;368,1,95;369,1,95;370,1,95;371,1,48;372,1,48;373,1,48", 1-6 전투 풀,"7500,2500",2,0,1,816, 1-6 전투 풀,2
"30,1,1006;31,1,1006;32,1,1006;33,1,503;34,1,503;35,1,503;36,1,252;37,1,252;38,1,252;365,1,189;366,1,189;367,1,189;368,1,95;369,1,95;370,1,95;371,1,48;372,1,48;373,1,48;491,1,48;492,1,48;493,1,48;503,1,24;504,1,24;505,1,24;515,1,12;516,1,12;517,1,12", 1-9 전투 풀,"7500,2500",3,0,2,817, 1-9 전투 풀,2
"58,1,1006;62,1,1006;66,1,1006;59,1,503;63,1,503;67,1,503;60,1,252;64,1,252;68,1,252", 1-3 채집 풀,"7500,2500",4,0,0,818, 1-3 채집 풀,3
"58,1,1006;62,1,1006;66,1,1006;59,1,503;63,1,503;67,1,503;60,1,252;64,1,252;68,1,252;374,1,189;375,1,189;376,1,189;377,1,95;378,1,95;379,1,95;380,1,48;381,1,48;382,1,48", 1-6 채집 풀,"7500,2500",5,0,1,819, 1-6 채집 풀,3
"58,1,1006;62,1,1006;66,1,1006;59,1,503;63,1,503;67,1,503;60,1,252;64,1,252;68,1,252;374,1,189;375,1,189;376,1,189;377,1,95;378,1,95;379,1,95;380,1,48;381,1,48;382,1,48;494,1,48;495,1,48;496,1,48;506,1,24;507,1,24;508,1,24;518,1,12;519,1,12;520,1,12", 1-9 채집 풀,"7500,2500",6,0,2,820, 1-9 채집 풀,3
"70,1,503;71,1,503;72,1,503;73,1,252;74,1,252;75,1,252;76,1,126;77,1,126;78,1,126;177,1,503;178,1,503;179,1,503;180,1,252;181,1,252;182,1,252;183,1,126;184,1,126;185,1,126", 1-3 농축 풀,"7500,2500",7,0,0,821, 1-3 농축 풀,1
"70,1,503;71,1,503;72,1,503;73,1,252;74,1,252;75,1,252;76,1,126;77,1,126;78,1,126;383,1,95;384,1,95;385,1,95;386,1,48;387,1,48;388,1,48;389,1,24;390,1,24;391,1,24;177,1,503;178,1,503;179,1,503;180,1,252;181,1,252;182,1,252;183,1,126;184,1,126;185,1,126;392,1,95;393,1,95;394,1,95;395,1,48;396,1,48;397,1,48;398,1,24;399,1,24;400,1,24", 1-6 농축 풀,"7500,2500",8,0,1,822, 1-6 농축 풀,1
"70,1,503;71,1,503;72,1,503;73,1,252;74,1,252;75,1,252;76,1,126;77,1,126;78,1,126;383,1,95;384,1,95;385,1,95;386,1,48;387,1,48;388,1,48;389,1,24;390,1,24;391,1,24;497,1,24;498,1,24;499,1,24;509,1,12;510,1,12;511,1,12;521,1,6;522,1,6;523,1,6;177,1,503;178,1,503;179,1,503;180,1,252;181,1,252;182,1,252;183,1,126;184,1,126;185,1,126;392,1,95;393,1,95;394,1,95;395,1,48;396,1,48;397,1,48;398,1,24;399,1,24;400,1,24;500,1,24;501,1,24;502,1,24;512,1,12;513,1,12;514,1,12;524,1,6;525,1,6;526,1,6", 1-9 농축 풀,"7500,2500",9,0,2,823, 1-9 농축 풀,1
"30,1,503;31,1,503;32,1,503;33,1,252;34,1,252;35,1,252;36,1,126;37,1,126;38,1,126;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;792,1,818;793,1,409;794,1,204",1-3 전투 풀 V2,"7500,2500",11,1,0,1012,1-3 전투 풀 V2,2
"30,1,503;31,1,503;32,1,503;33,1,252;34,1,252;35,1,252;36,1,126;37,1,126;38,1,126;365,1,95;366,1,95;367,1,95;368,1,48;369,1,48;370,1,48;371,1,24;372,1,24;373,1,24;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;786,1,102;787,1,51;788,1,26;792,1,818;793,1,409;794,1,204;795,1,102;796,1,51;797,1,26", 1-6 전투 풀 V2,"7500,2500",12,1,1,1013, 1-6 전투 풀 V2,2
"30,1,503;31,1,503;32,1,503;33,1,252;34,1,252;35,1,252;36,1,126;37,1,126;38,1,126;365,1,95;366,1,95;367,1,95;368,1,48;369,1,48;370,1,48;371,1,24;372,1,24;373,1,24;491,1,24;492,1,24;493,1,24;503,1,12;504,1,12;505,1,12;515,1,6;516,1,6;517,1,6;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;786,1,102;787,1,51;788,1,26;789,1,13;790,1,6;791,1,3;792,1,818;793,1,409;794,1,204;795,1,102;796,1,51;797,1,26;798,1,13;799,1,6;800,1,3", 1-9 전투 풀 V2,"7500,2500",13,1,2,1014, 1-9 전투 풀 V2,2
"58,1,503;62,1,503;66,1,503;59,1,252;63,1,252;67,1,252;60,1,126;64,1,126;68,1,126;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;792,1,818;793,1,409;794,1,204", 1-3 채집 풀 V2,"7500,2500",14,1,0,1015, 1-3 채집 풀 V2,3
"58,1,503;62,1,503;66,1,503;59,1,252;63,1,252;67,1,252;60,1,126;64,1,126;68,1,126;374,1,95;375,1,95;376,1,95;377,1,48;378,1,48;379,1,48;380,1,24;381,1,24;382,1,24;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;786,1,102;787,1,51;788,1,26;792,1,818;793,1,409;794,1,204;795,1,102;796,1,51;797,1,26", 1-6 채집 풀 V2,"7500,2500",15,1,1,1016, 1-6 채집 풀 V2,3
"58,1,503;62,1,503;66,1,503;59,1,252;63,1,252;67,1,252;60,1,126;64,1,126;68,1,126;374,1,95;375,1,95;376,1,95;377,1,48;378,1,48;379,1,48;380,1,24;381,1,24;382,1,24;494,1,24;495,1,24;496,1,24;506,1,12;507,1,12;508,1,12;518,1,6;519,1,6;520,1,6;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;786,1,102;787,1,51;788,1,26;789,1,13;790,1,6;791,1,3;792,1,818;793,1,409;794,1,204;795,1,102;796,1,51;797,1,26;798,1,13;799,1,6;800,1,3", 1-9 채집 풀 V2,"7500,2500",16,1,2,1017, 1-9 채집 풀 V2,3
"70,1,252;71,1,252;72,1,252;73,1,126;74,1,126;75,1,126;76,1,63;77,1,63;78,1,63;177,1,252;178,1,252;179,1,252;180,1,126;181,1,126;182,1,126;183,1,63;184,1,63;185,1,63;893,1,108;894,1,108;895,1,108;896,1,108;897,1,108;898,1,108;899,1,108;783,1,818;784,1,409;785,1,204;792,1,818;793,1,409;794,1,204", 1-3 농사 풀 V2,"7500,2500",17,1,0,1018, 1-3 농사 풀 V2,1
