canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"1,3,4",1,"Một người từng thấy vật liệu này bên bờ biển.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Chất nhờn màu xanh lá cây này là một nguyên liệu thô hiếm có thể được sử dụng để chế tạo các trang bị chiến đấu khác nhau. Nó có khả năng dính mạnh mẽ và có thể kết dính với nhiều vật liệu khác nhau.
",0,item-icon-30,30,Lv 1 Slime Xanh,1,0,2,"1,0",1,4,1,1
"1,3,4",1,"Một người từng thấy vật liệu này bên bờ biển.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Dây bí ngô là một nguyên liệu thô có thể được sử dụng để chế tạo vũ khí và áo giáp. Chúng có cấu trúc cứng và độ bền tuyệt vời, mang lại sự bảo vệ đáng tin cậy và sức tấn công trong chiến đấu.
",0,item-icon-31,31,Lv 1 Cây bí ngô,1,0,2,"1,0",1,4,1,1
"1,3,4",1,"Một người từng thấy vật liệu này bên bờ biển.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Loại lưới dây thép này là một nguyên liệu thô được sử dụng cho chiến đấu, có thể được sử dụng để chế tạo cấu trúc phòng thủ hoặc trang bị với sức mạnh và độ bền cao.
",0,item-icon-32,32,Lv 1 Lưới dây,1,0,2,"1,0",1,4,1,1
"1,3,4",1,"Một người từng thấy vật liệu này trong sa mạc.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Răng nanh mèo mỏ là một nguyên liệu thô sắc nhọn có thể được sử dụng để chế tạo vũ khí và áo giáp. Chúng xuất phát từ các loài động vật mèo sống trong mỏ và sở hữu khả năng chiến đấu mạnh mẽ và linh hoạt.
",0,item-icon-33,33,Lv 2 Mỏ mèo sắc nhọn,1,0,2,2,1,4,2,1
"1,3,4",1,"Một người từng thấy vật liệu này trên cánh đồng cỏ.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Bộ phim nhẹ này là một nguyên liệu thô được sử dụng cho chiến đấu và có thể được sử dụng để chế tạo các trang bị phòng thủ và vũ khí khác nhau.
",0,item-icon-34,34,Lv 2 Màng mỏng nhẹ,1,0,2,2,1,4,2,1
"1,3,4",1,"Một người từng thấy vật liệu này trong hẻm núi.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Vương miện đầu cỏ là một nguyên liệu chiến đấu cấp hai được làm từ đầu của Quỷ Cỏ và sở hữu khả năng chiến đấu mạnh mẽ.
",0,item-icon-35,35,Lv 2 Vương miện quỷ cỏ,1,0,2,2,1,4,2,1
"1,3,4",1,"Một người từng thấy vật liệu này trong Rừng Đen.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Móc mảnh này được làm từ kim loại cứng, rất sắc bén, phù hợp để sử dụng trong chiến đấu. Hình dạng của nó mảnh mai và có thể dễ dàng xuyên thủng phòng thủ của kẻ thù.
",0,item-icon-36,36,Lv 3 Móng vuốt mảnh mai,1,0,2,3,1,4,3,1
"1,3,4",1,"Một người từng thấy vật liệu này trong Rừng Đỏ.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Lông đỏ là một loại lông cao cấp với hiệu suất phòng thủ xuất sắc, phù hợp để chế tạo trang bị chiến đấu. Đây là một nguyên liệu thô hiếm có độ khó thu thập cao.
",0,item-icon-37,37,Lv 3 Lông đỏ,1,0,2,3,1,4,3,1
"1,3,4",1,"Một người từng thấy vật liệu này trên Núi Tuyết.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Đây là một nguyên liệu thô hiếm có thể thu được trong các trận đánh. Nó có hình dạng giống như băng và tuyết, với cấu trúc lông mượt khiến người ta muốn chạm vào.
",0,item-icon-38,38,Lv 3 Bông tuyết băng,1,0,2,3,1,4,3,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao sức mạnh tấn công chiến đấu của bạn
-------
Một vũ khí sắc bén và chắc chắn được chế tạo từ đá cứng, hoàn hảo cho chiến đấu gần gũi. Trọng lượng và cân bằng của nó làm cho việc sử dụng dễ dàng, gây ra những đòn đánh mạnh mẽ và chính xác.
",0,item-icon-40,40,Lv 1 Kiếm đá,1,0,2,999,0,1,1,1
