assetRes-string,dropId-int,exp-int,gatherPotentiality-int[],homeAction-int[],icon-string,id-int,initialAttribute-int[][],lv-int,name-string,progressScore-int,rankScore-int,tokenTaskLevel-int[],totemScore-int,worldDropGroup-int
2D_caijiziyuan_shumu01_1,27,15,"500,520",6,2D_caijiziyuan_shumu01_1,4,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Ordinary Wood#4,2,14,"0, 1",1,1
Slice_12,27,15,"500,520",6,Slice_12,5,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Ordinary Wood#5,2,14,999,1,1
2D_caijiziyuan_xianrenzhang,28,21.21320344,"520,538",6,2D_caijiziyuan_xianrenzhang,6,"60,0,1;61,200,1;62,0,1;63,225,1;76,1500,1",2,Desert Tree Wood#6,4,20,2,2,2
2D_caijiziyuan_hongguoshi,34,30,"538,553",5,2D_caijiziyuan_hongguoshi,7,"60,300,1;61,0,1;62,0,1;63,330,1;76,2250,1",3,Maguey#7,8,28,3,3,3
2D_caijiziyuan_shikuai_3,26,15,"500,520",7,2D_caijiziyuan_shikuai_3,8,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1,Mineral#8,2,14,"0, 1",1,1
2D_caijiziyuan_heitikuang,30,21.21320344,"520,538",7,2D_caijiziyuan_heitikuang,9,"60,0,1;61,0,1;62,200,1;63,225,1;76,1500,1",2,Dark Iron#9,4,20,2,2,2
2D_caijiziyuan_hongbaoshi,31,30,"538,553",7,2D_caijiziyuan_hongbaoshi,11,"60,0,1;61,0,1;62,300,1;63,330,1;76,2250,1",3,Red Crystal Ore#11,8,28,3,3,3
Slice_11,32,15,"500,520",5,Slice_11,14,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#14,2,14,"0, 1",1,1
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,"520,538",5,2D_caijiziyuan_bingyuanzhiwu,15,"60,200,1;61,0,1;62,0,1;63,225,1;76,1500,1",2,Frozen Fungus#15,4,20,2,2,2
2D_caijiziyuan_anheimucai,29,30,"538,553",6,2D_caijiziyuan_anheimucai,16,"60,0,1;61,300,1;62,0,1;63,330,1;76,2250,1",3,Dark Wood#16,8,28,3,3,3
homeresource-19,0,0,"500,520",5,homeresource-19,19,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#19,2,14,999,1,0
homeresource-20,32,15,"500,520",5,homeresource-20,20,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#20,2,14,"0, 1",1,1
2D_caijiziyuan_cao3,0,0,"500,520",5,2D_caijiziyuan_cao3,21,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#21,2,14,999,1,0
homeresource-22,0,0,"500,520",5,homeresource-22,22,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#22,2,14,999,1,0
homeresource-24,0,0,"500,520",5,homeresource-24,24,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#24,2,14,999,1,0
homeresource-25,0,0,"500,520",5,homeresource-25,25,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#25,2,14,999,1,0
homeresource-26,0,0,"500,520",5,homeresource-26,26,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#26,2,14,999,1,0
homeresource-27,0,0,"500,520",5,homeresource-27,27,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#27,2,14,999,1,0
homeresource-28,0,0,"500,520",5,homeresource-28,28,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#28,2,14,999,1,0
homeresource-29,0,0,"500,520",6,homeresource-29,29,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Ordinary Wood#29,2,14,999,1,0
homeresource-30,0,0,"500,520",5,homeresource-30,30,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#30,2,14,999,1,0
homeresource-31,0,0,"500,520",5,homeresource-31,31,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#31,2,14,999,1,0
homeresource-32,0,0,"500,520",5,homeresource-32,32,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#32,2,14,999,1,0
homeresource-33,0,15,"500,520",5,homeresource-33,33,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#33,2,14,999,1,0
2D_caijiziyuan_shikuai_4,26,15,"500,520",7,2D_caijiziyuan_shikuai_4,34,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1,Mineral#34,2,14,999,1,1
homeresource-35,27,15,"500,520",6,homeresource-35,35,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Ordinary Wood#35,2,14,999,1,1
homeresource-36,28,21.21320344,"520,538",6,homeresource-36,36,"60,0,1;61,200,1;62,0,1;63,225,1;76,1500,1",2,Desert Tree Wood#36,4,20,2,2,2
homeresource-37,29,30,"538,553",6,homeresource-37,37,"60,0,1;61,300,1;62,0,1;63,330,1;76,2250,1",3,Dark Wood#37,8,28,3,3,3
homeresource-38,31,30,"538,553",7,homeresource-38,38,"60,0,1;61,0,1;62,300,1;63,330,1;76,2250,1",3,Red Crystal Ore#38,8,28,3,3,3
homeresource-41,30,21.21320344,"520,538",7,homeresource-41,41,"60,0,1;61,0,1;62,200,1;63,225,1;76,1500,1",2,Dark Iron#41,4,20,2,2,2
homeresource-42,26,15,"500,520",7,homeresource-42,42,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1,Mineral#42,2,14,"0, 1",1,1
homeresource-43,33,21.21320344,"520,538",5,homeresource-43,43,"60,200,1;61,0,1;62,0,1;63,225,1;76,1500,1",2,Frozen Fungus#43,4,20,2,2,2
homeresource-44,34,30,"538,553",5,homeresource-44,44,"60,300,1;61,0,1;62,0,1;63,330,1;76,2250,1",3,Maguey#44,8,28,3,3,3
homeresource-45,0,0,"500,520",5,homeresource-45,45,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Plant Fibre#45,2,14,999,1,0
homeresource-47,9,0,"500,520",16,homeresource-47,47,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Green Slime#47,2,14,999,0,0
homeresource-48,8,0,"500,520",16,homeresource-48,48,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Pumpkin Vines#48,2,14,999,0,0
homeresource-49,7,0,"500,520",16,homeresource-49,49,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Wire Mesh #49,2,14,999,0,0
homeresource-50,26,0,"500,520",16,homeresource-50,50,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Mineral#50,2,14,999,0,0
homeresource-51,32,0,"500,520",16,homeresource-51,51,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Plant Fibre#51,2,14,999,0,0
homeresource-52,27,0,"500,520",16,homeresource-52,52,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Ordinary Wood#52,2,14,999,0,0
homeresource-53,30,0,"520,538",16,homeresource-53,53,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Dark Iron#53,4,20,999,0,0
homeresource-54,28,0,"520,538",16,homeresource-54,54,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Desert Tree Wood#54,4,20,999,0,0
