id-int,rewardTimes-int[][],rewardType-int,rewardList-int[][]
1,"0,9750;1,250",2,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1;772,1,1,1000"
2,"0,9750;1,250",2,"214,1,1,1;211,1,1,1;217,1,1,1;208,1,1,1;772,1,1,1000"
3,"0,9750;1,250",2,"215,1,1,1;212,1,1,1;218,1,1,1;209,1,1,1;772,1,1,1000"
4,"0,9750;1,250",2,"401,1,1,1;404,1,1,1;407,1,1,1;410,1,1,1;772,1,1,1000"
5,"0,9750;1,250",2,"402,1,1,1;405,1,1,1;408,1,1,1;411,1,1,1;772,1,1,1000"
6,"1,1000",2,"214,1,1,1;211,1,1,1;217,1,1,1;208,1,1,1;772,1,1,1000"
7,"1,1000",2,"215,1,1,1;212,1,1,1;218,1,1,1;209,1,1,1;772,1,1,1000"
8,"1,1000",2,"401,1,1,1;404,1,1,1;407,1,1,1;410,1,1,1;772,1,1,1000"
9,"1,1000",2,"402,1,1,1;405,1,1,1;408,1,1,1;411,1,1,1;772,1,1,1000"
10,"1,1000",2,"403,1,1,1;406,1,1,1;409,1,1,1;412,1,1,1;772,1,1,1000"
11,"1,1",1,"134,1,10,1;772,1,1,1000"
12,"1,1",1,"39,1,1,1;772,1,1,1000"
13,"1,1",1,"91,1,1,1;87,1,1,1;225,1,1,1;772,1,1,1000"
14,"1,1",1,"58,1,12,1;30,1,3,1;772,1,1,1000"
17,"1,1",1,"79,1,1,1;146,1,10,1;147,1,10,1;148,1,10,1;772,1,1,1000"
21,"1,1",1,"134,1,5,1;135,1,3,1;772,1,1,1000"
22,"1,1",1,"66,1,5,1;32,1,15,1;772,1,1,1000"
24,"0,9750;1,250",2,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1;772,1,1,1000"
25,"1,1000",2,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1;772,1,1,1000"
26,"1,1000",2,"213,1,1,1;210,1,1,1;216,1,1,1;207,1,1,1;772,1,1,1000"
27,"1,1",1,"134,1,10,1;772,1,1,1000"
28,"1,1",1,"91,1,1,1;222,1,1,1;772,1,1,1000"
29,"1,1",1,"87,1,1,1;223,1,1,1;772,1,1,1000"
30,"1,1",1,"139,1,5,1;772,1,1,1000"
31,"1,1",1,"83,1,1,1;772,1,1,1000"
32,"1,1",1,"210,1,1,1;213,1,1,1;216,1,2,1000;207,1,2,1000;772,1,1,1000"
33,"1,1",1,"69,1,10,1;772,1,1,1000"
34,"1,1",1,"28,1,5,1;772,1,1,1000"
35,"1,1",1,"96,1,1,1;97,1,1,1;95,1,1,1;28,1,5,1;772,1,1,1000"
36,"1,1",1,"95,1,1,1;772,1,1,1000"
38,"1,1",1,"128,1,1,1;772,1,1,1000"
39,"1,1",1,"101,1,1,1;772,1,1,1000"
40,"1,1",1,"222,1,1,1;223,1,1,1;772,1,1,1000"
41,"1,1",1,"46,1,1,1;772,1,1,1000"
42,"1,1",1,"119,1,1,1;772,1,1,1000"
43,"1,1",1,"92,1,1,1;772,1,1,1000"
44,"1,1",1,"142,1,5,1;772,1,1,1000"
45,"1,1",1,"142,1,5,1;772,1,1,1000"
46,"0,9750;1,250",2,"403,1,1,1;406,1,1,1;409,1,1,1;412,1,1,1;772,1,1,1000"
47,"1,1;0,9999",2,"728,1,4,1000;772,1,1,1000"
48,"1,1;0,9999",2,"728,1,4,1000;772,1,1,1000"
49,"1,1;0,9999",2,"728,1,8,1000;772,1,1,1000"
50,"1,1;0,9999",2,"728,1,8,1000;772,1,1,1000"
51,"1,1;0,9999",2,"728,1,24,1000;772,1,1,1000"
52,"1,1",1,"479,1,10,1000;365,1,4,1000;366,1,4,1000;367,1,4,1000;772,1,7,1000"
53,"1,1",1,"479,1,10,1000;365,1,4,1000;366,1,4,1000;367,1,4,1000;772,1,7,1000"
54,"1,1",1,"479,1,10,1000;368,1,2,1000;369,1,2,1000;370,1,2,1000;772,1,14,1000"
55,"1,1",1,"479,1,10,1000;368,1,4,1000;369,1,4,1000;370,1,4,1000;772,1,14,1000"
56,"1,1",1,"479,1,35,1000;371,1,8,1000;372,1,8,1000;373,1,8,1000;772,1,58,1000"
58,"1,1",1,"30,1,1,1000;31,1,2,1000;32,1,2,1000;772,1,1,1000"
59,"1,1",1,"479,1,2,1000;33,1,2,1000;34,1,2,1000;35,1,2,1000;772,1,2,1000"
60,"1,1",1,"479,1,4,1000;36,1,2,1000;37,1,2,1000;38,1,2,1000;772,1,4,1000"
61,"1,1;0,9999",2,"718,1,4,1000;772,1,1,1000"
62,"1,1;0,9999",2,"718,1,8,1000;772,1,1,1000"
63,"1,1;0,9999",2,"718,1,12,1000;772,1,1,1000"
64,"0,9750;1,250",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
65,"0,9750;1,250",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
66,"0,9750;1,250",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
67,"0,9750;1,250",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
68,"0,9750;1,250",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
69,"0,9750;1,250",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
70,"0,9750;1,250",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
71,"0,9750;1,250",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
72,"0,9750;1,250",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
73,"1,1000",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
74,"1,1000",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
75,"1,1000",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
76,"1,1000",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
