areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0",No Death Penalty,1,0,Town,1
0,"0,0,0",2,"0,0,0",No Death Penalty,2,0,Surrounding Town,1
0,"100,20,10",3,"100,10,5",Slight Death Penalty,3,0,Snow Moutain,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,4,0,PvEP Fight Area,2
0,"0,0,0",2,"0,0,0",No Death Penalty,5,0,Home,1
0,"0,0,0",2,"0,0,0",No Death Penalty,6,0,Beach,1
0,"0,0,0",2,"0,0,0",No Death Penalty,7,0,Red Forest,1
0,"100,20,10",3,"100,10,5",Slight Death Penalty,8,0,Black Forest,2
0,"0,0,0",2,"0,0,0",No Death Penalty,9,0,Stormy Desert,1
0,"0,0,0",2,"0,0,0",No Death Penalty,10,0,Canyon,1
0,"100,20,10",3,"100,10,5",Slight Death Penalty,11,0,Hero Fish Statue,2
0,"100,20,15",5,"100,10,5",Moderate Death Penalty,12,1,Cemetery,3
0,"100,20,10",3,"100,10,5",Slight Death Penalty,13,0,Soul's Rest,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,14,0,Celestial Lake Mountain,2
0,"0,0,0",2,"0,0,0",No Death Penalty,15,0,Central Altar,1
0,"100,20,10",3,"100,10,5",Slight Death Penalty,16,0,Surrounding Altar,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,17,0,Ice Plain,2
0,"100,20,15",5,"100,10,5",Moderate Death Penalty,18,1,Depths of Ice Plain,3
0,"0,0,0",2,"0,0,0",No Death Penalty,19,0,Wilderness,1
1,"100,20,25",7,"100,10,5",Heavy Death Penalty,20,1,Novice Arena 1/3,3
2,"100,20,25",7,"100,10,5",Heavy Death Penalty,21,1,Novice Arena 2/3,3
3,"100,20,25",7,"100,10,5",Heavy Death Penalty,22,1,Novice Arena 3/3,3
1,"100,20,25",7,"100,10,5",Heavy Death Penalty,23,1,Intermediate Arena 1/3,3
2,"100,20,25",7,"100,10,5",Heavy Death Penalty,24,1,Intermediate Arena 2/3,3
3,"100,20,25",7,"100,10,5",Heavy Death Penalty,25,1,Intermediate Arena 3/3,3
1,"100,20,25",7,"100,10,5",Heavy Death Penalty,26,1,Advanced Arena 1/3,3
2,"100,20,25",7,"100,10,5",Heavy Death Penalty,27,1,Advanced Arena 2/3,3
3,"100,20,25",7,"100,10,5",Heavy Death Penalty,28,1,Advanced Arena 3/3,3
0,"0,0,0",2,"0,0,0",No Death Penalty,29,0,Matchmaking Camp,1
0,"0,0,0",2,"0,0,0",No Death Penalty,30,0,Respawn Altar,1
0,"100,20,10",3,"100,10,5",Slight Death Penalty,31,0,Challenge,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,32,0,Ancient Domain - Volcano,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,33,0,Ancient Domain - Hollow,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,34,0,Ancient Domain - Relic,2
0,"100,20,10",3,"100,10,5",Slight Death Penalty,35,0,Wild,2
0,"0,0,0",2,"0,0,0",No Death Penalty,36,0,The Bridge,1
0,"100,20,15",5,"100,10,5",Moderate Death Penalty,37,1,Colosseum,3
0,"0,0,0",2,"0,0,0",No Death Penalty,38,0,Daily Challenge,1
