designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,reputation-int,type-int,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
"{""options"":[{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",1,0,11,10001,0,2,,,,
"{""options"":[{""optionType"":1,""value"":""134,2"",""guiderPoint"":0},{""optionType"":2,""value"":""134,1"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",2,0,11,10002,0,2,"1,1;2,1",1,,
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",3,0,11,10003,0,2,"2,2",2,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",4,0,11,10004,0,2,"2,3",3,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",5,0,11,10005,0,2,"2,4",4,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",6,0,11,10006,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",7,1,11,10007,0,2,,5,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",8,1,11,10008,0,2,,"6,7",,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",9,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",10,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",11,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",12,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",13,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",14,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",15,1,11,Viajando,0,2,,,,
"{""options"":[{""optionType"":4,""value"":""8,2"",""guiderPoint"":0}]}","Por favor, vaya al lugar designado por el bien del amor y la paz.
",0,"1,147",16,1,11,Viajando,0,2,,,,
,"Por amor y paz, por favor, dame esto.
",0,"3,84",17,1,24,Coleccionando,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""70,10,100"",""guiderPoint"":0},{""optionType"":1,""value"":""33,2,300"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,"Por amor y paz, por favor, dame esto.
",0,"3,84",18,1,24,Coleccionando,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,"Por amor y paz, por favor, dame esto.
",0,"3,84",19,1,24,Coleccionando,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
,"Por amor y paz, por favor, dame esto.
",0,"3,84",20,1,24,Coleccionando,0,,,,"{""options"":[{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""58,3,200"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,100"",""guiderPoint"":0}]}",
"{""options"":[{""optionType"":4,""value"":""111,1"",""guiderPoint"":30107}]}","Cada tipo de monstruo tiene su propia debilidad. El progreso para activar la debilidad se muestra debajo de su barra de HP, y diferentes monstruos tienen diferentes condiciones para activarla. Hasta donde sé, infligir daño, golpear fuerte o hacer retroceder pueden activar el punto débil de un monstruo. Algunos monstruos incluso pueden tener sus puntos débiles activados usando un pico. El icono del tipo de monstruo frente a la barra de salud puede proporcionar algunas pistas.
Ayuda a Gunner a matar a un Murciélago Calabaza.",0,"2,280",21,0,0,Nuevo comienzo,100,1,,,,
