col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],upgradeToken-int[]
0,"ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","51,588#1199#1259,10000","1,2,3",talentTree-1,1,1,1,1,Habilidade de Combate 1 ,0,2,450,0,,0
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","52,585#1194#1260,10000","1,2,3",talentTree-2,2,1,2,1, Habilidade de Combate 2 ,0,2,900,1,1,0
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","53,592#1192#1261,10000","1,2,3",talentTree-3,3,1,3,1, Habilidade de Combate 3 ,10000,2,1800,2,2,200
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","54,590#1197#1262,10000","1,2,3",talentTree-4,4,1,4,1, Habilidade de Combate 4 ,20000,2,3600,3,3,1000
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","55,589#1196#1263,10000","1,2,3",talentTree-5,5,1,5,1, Habilidade de Combate 5 ,30000,2,7200,4,4,2000
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","56,595#1195#1264,10000","1,2,3",talentTree-6,6,1,6,1, Habilidade de Combate 6 ,40000,2,14400,5,5,3200
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","57,614#1200#1265,10000","1,2,3",talentTree-7,7,1,7,1, Habilidade de Combate 7 ,50000,2,28800,6,6,4600
0," ATK de Combate + 5
DEF de Combate + 5
MaxHP de Combate + 20
MaxEnergy + 10
Desbloquear Receitas de Energia","58,615#1193#1266,10000","1,2,3",talentTree-8,8,1,8,1, Habilidade de Combate 8 ,60000,2,57600,7,7,6200
0, Reduzir a velocidade de movimento do inimigo.,"59,619#1198#1267,10000","1,2,3",talentTree-9,9,1,9,1, Habilidade de Combate 9 ,70000,2,115200,8,8,8000
-1, Atordoar inimigos ao seu redor.,332,1,talentTree-10,10,0,2,1, Atropelamento - Aprimoramento ,0,2,175,0,11,0
-1," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Fitness de Agricultura: Converte a proficiência em agricultura em defesa de combate e limites de saúde proporcionalmente a uma certa porcentagem, eficaz ao usar ferramentas de agricultura
Desbloquear Receitas de Energia",63,0,talentTree-11,11,0,1,1, Atropelamento ,0,2,15,0,,0
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","66#531,591#597#1183#1277,10000","1,2,3",talentTree-13,13,1,1,1, Maestria em Agricultura 1 ,0,1,450,0,,0
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","67,593#598#1184#1278,10000","1,2,3",talentTree-14,14,1,2,1, Maestria em Agricultura 2 ,0,1,900,1,13,0
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","68,596#599#1188#1279,10000","1,2,3",talentTree-15,15,1,3,1, Maestria em Agricultura 3 ,10000,1,1800,2,14,200
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","69,594#600#1190#1280,10000","1,2,3",talentTree-16,16,1,4,1, Maestria em Agricultura 4 ,20000,1,3600,3,15,1000
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","70,601#587#1185#1281,10000","1,2,3",talentTree-17,17,1,5,1, Maestria em Agricultura 5 ,30000,1,7200,4,16,2000
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","71,602#586#1189#1282,10000","1,2,3",talentTree-18,18,1,6,1, Maestria em Agricultura 6 ,40000,1,14400,5,17,3200
0," Capacidade de Fertilidade + 1
Proficiência em Plantio + 4
Capacidade de Felicidade do Animal de Estimação + 1
Proficiência em Reprodução + 4
MaxEnergy + 10
Desbloquear Receitas de Energia","72,620#617#1187#1283,10000","1,2,3",talentTree-19,19,1,7,1, Maestria em Agricultura 7 ,50000,1,28800,6,18,4600
0, Capacidade de Fertilidade + 1,"73,624#621#1186#1284,10000","1,2,3",talentTree-20,20,1,8,1, Maestria em Agricultura 8 ,60000,1,57600,7,19,6200
0, Regar pequenos campos ao seu redor.,"74,625#616#1191#1285,10000","1,2,3",talentTree-21,21,1,9,1, Maestria em Agricultura 9 ,70000,1,115200,8,20,8000
1," Ataque de Grama + 5
Ataque de Árvore + 5
Ataque de Minério + 5
Proficiência em Grama + 5
Proficiência em Árvore + 5
Proficiência em Minério + 5
MaxEnergy + 10
Fitness de Coleta: Converte a proficiência em coleta em defesa de combate e saúde em uma certa proporção, eficaz ao usar ferramentas de coleta
Desbloquear Receitas de Energia",228,1,talentTree-22,22,0,1,1, Fazenda - Capacidade de Fertilidade ,0,1,95,0,,0
-1," Ataque de Grama + 5
Ataque de Árvore + 5
Ataque de Minério + 5
Proficiência em Grama + 5
Proficiência em Árvore + 5
Proficiência em Minério + 5
MaxEnergy + 10
Desbloquear Receitas de Energia",99,0,talentTree-23,23,0,2,1, Maestria em Regador ,0,1,210,0,77,0
