desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,buffIcon-string,parameters2-int[][],effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
Dano base (coeficiente milésimo),0,1,1,0,1,"1000,1,2",0,,,,,,
 Deslocamento frontal (cm),500,2,2,0,1,"100,0,1",0,,,,,,
 Deslocamento (cm) para repulsão,500,3,3,0,1,100,0,,,,,,
 Invencível,1000,4,4,0,1,,0,,,,,,
 Físico dominante,1000,5,5,0,10,,0,buff-icon-5,,,,,
" Deslocamento de busca (distância mínima, máxima em cm)",100,6,6,0,1,"50,150,0,1,1",0,,,,,,
" Modificação de atributo (ID do atributo, tipo de modificação, valor da modificação)",,7,7,0,1,,0,,"11,1,100;13,1,10",,,,
 Efeito básico de tontura,,8,8,0,1,,1,buff-icon-8,,,,,
 Dano contínuo (coeficiente milésimo),500,9,9,0,5,"100,1",0,,,500,,,
 Gatilho de colisão (lista de bolas de efeito),500,10,10,0,1,"15,17",0,,,,,,
" Liberação rápida de habilidade (lista de ID de habilidade, tipo de gatilho, probabilidade de liberação, ID de habilidade)",0,11,11,0,1,,0,,"14,15,16;1,500,65",,,,
" Adicionar bolas de efeito (tipo de alvo, limite de alvo; lista de bolas de efeito) dentro do alcance.",,12,12,0,1,,0,,"1,1;15,730",500,,,
" Efeito de fúria sanguínea (ID do atributo, tipo de alteração, valor ganho por 1% de perda de HP)",,13,13,0,1,,0,,"11,1,100;13,1,10",,,,
" Aumentar o valor do atributo após um período sem sofrer dano (duração em ms) (ID do atributo, tipo de alteração, valor ganho por 1% de perda de saúde)",-1,14,14,0,1,3000,0,,"11,1,100;13,1,10",,,,
 Dano base,0,1,15,0,1,"1000,1,2",0,,,,,,
 Distância de deslocamento de pré-lançamento do protagonista,200,2,16,0,1,"90,0,1",0,,,,,,
 Efeito de distância de repulsão universal,200,3,17,0,1,90,0,,,,,,
 Movimento de rolagem do jogador,250,2,18,0,1,"350,0,1",0,,,,,,
 Jogador rola invencível,500,4,19,0,1,,0,,,,,,
 Distância de deslocamento de pré-ataque do ataque 3 do protagonista.,200,2,20,0,1,"110,0,1",0,,,,,,
 Efeito de distância de repulsão do terceiro ataque básico,275,3,21,0,1,100,0,,,,,,
 Armadura hiper de 1 segundo,1000,5,22,1,10,,0,buff-icon-22,,,,,
 Teste de tontura,3000,8,23,0,1,,1,buff-icon-23,,,,,
 O cão enlatado tem forte capacidade de combate corpo a corpo,730,5,24,0,10,,0,buff-icon-24,,,,,
" Homem abóbora, tanque corpo a corpo",1300,5,25,0,10,,0,buff-icon-25,,,,,
 Soldado fruta dragão dominação corpo a corpo,1100,5,26,0,10,,0,buff-icon-26,,,,,
 Pessoa árvore tanque corpo a corpo,1000,5,27,0,10,,0,buff-icon-27,,,,,
 Rei lobo tanque corpo a corpo,2000,5,28,0,10,,0,buff-icon-28,,,,,
 Rei lobo repulsão corpo a corpo,1000,3,29,0,1,100,0,,,,,,
 Habilidade do Rei Lobo: deslocamento,1000,2,30,0,1,"1200,0,1",0,,,,,,
 Efeito de deslocamento de detecção,150,6,31,0,1,"80,200,0,1,1",0,,,,,,
" Ataque +100, limite de HP +100, taxa de crítico +50%",-1,7,32,0,1,,0,,"13,1,100;11,1,100;19,1,500",,,,
" Ataque +50%, Max HP +50%",-1,7,33,0,1,,0,,"13,2,500;11,2,500",,1,2,
" Max HP +100, Ataque +10%",10000,7,34,0,10,,0,,"11,1,100;13,2,100",,,,
 Tontura por 3 segundos,3000,8,35,0,1,,1,buff-icon-35,,,,,
 Buff sangrento,5000,9,36,0,5,"100,1",0,,,500,,,
 Lesão por colisão,1500,1,37,0,1,"1500,1,2",0,,,100,,,
" Buff de fúria sanguínea, 1% de perda de HP = 1 bônus de dano",-1,13,38,0,1,,0,,"21,1,10",,,,
" 3s sem dano, +10% de bônus de dano",-1,14,39,0,1,,0,,"21,1,100",,,,
 Repulsão por colisão,300,3,40,0,1,500,0,,,,,,
 Dano e repulsão por colisão,400,10,41,0,1,"37,40",0,,,,,,
 Deslocamento de sprint,300,2,42,0,1,"400,0,1",0,,,,,,
 Ataque desarmado aciona ataque de espada,-1,11,43,0,1,,0,,"14,15,16;1,500,65",,,,
 Dano aleatório em alvo único dentro do alcance,5000,12,44,0,1,,0,,"1,1;15,730",500,,,
 Dano em grupo no escopo,5000,12,45,0,1,,0,,"1,20;15,730",500,,,
" Núcleo de combate 1, aumenta 1% de poder de ataque",-1,7,46,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 2, aumenta 1% de poder de ataque",-1,7,47,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 3, aumenta 1% de poder de ataque",-1,7,48,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 4, +1% de ataque",-1,7,49,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 5, +1% de ataque",-1,7,50,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de Combate 6, aumenta 1% do poder de ataque ",-1,7,51,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de Combate 6, aumenta 1% do poder de ataque ",-1,7,52,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de Combate 6, aumenta 1% do poder de ataque ",-1,7,53,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de Combate 6, aumenta 1% do poder de ataque ",-1,7,54,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
 Chance de acerto crítico +5% em batalha ,-1,7,55,0,1,,0,,"19,1,50",,,,
 Chance de acerto crítico +10% em batalha ,-1,7,56,0,1,,0,,"19,1,100",,,,
 Chance de acerto crítico +15% em batalha ,-1,7,57,0,1,,0,,"19,1,150",,,,
 Guerra reduz o dano em 50% ,0,1,58,0,1,"1500,1,2",0,,,,,,
" Guerra atropela, tontura por 2s ",2000,8,59,0,1,,1,buff-icon-59,,,,,
 Probabilidade de ganho extra +1% ,-1,7,60,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,61,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,62,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,63,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,64,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,65,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,66,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,67,0,10,,0,,"40,1,10",,,,
 Probabilidade de ganho extra +1% ,-1,7,68,0,10,,0,,"40,1,10",,,,
 Aumenta o nível para o nível da colheita ,-1,7,69,0,1,,0,,"42,1,1",,,,
 Aumenta o nível para o nível da colheita ,-1,7,70,0,1,,0,,"42,1,1",,,,
 Aumenta o nível para o nível da colheita ,-1,7,71,0,1,,0,,"42,1,1",,,,
 Acelera a enxada em 10% ,-1,7,72,0,1,,0,,"37,1,100",,,,
 Acelera a enxada em 20% ,-1,7,73,0,1,,0,,"37,1,100",,,,
 Acelera a enxada em 30% ,-1,7,74,0,1,,0,,"37,1,100",,,,
 A rega aumenta a retenção de umidade em 5% ,-1,7,75,0,1,,0,,"39,1,50",,,,
 A rega aumenta a retenção de umidade em 10% ,-1,7,76,0,1,,0,,"39,1,100",,,,
 A rega aumenta a retenção de umidade em 15% ,-1,7,77,0,1,,0,,"39,1,150",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,78,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,79,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,80,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,81,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,82,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,83,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,84,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,85,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidade de coleta dupla de recursos +1% ,-1,7,86,0,20,,0,,"27,1,10;34,1,10",,,,
 Aumenta o nível para coletar recursos mais altos ,-1,7,87,0,1,,0,,"28,1,1;35,1,1",,,,
 Aumenta o nível para coletar recursos mais altos ,-1,7,88,0,1,,0,,"28,1,1;35,1,1",,,,
 Aumenta o nível para coletar recursos mais altos ,-1,7,89,0,1,,0,,"28,1,1;35,1,1",,,,
 Acelera o balanço do machado em 10% ,-1,7,90,0,1,,0,,"23,1,100",,,,
 Acelera o balanço do machado em 20% ,-1,7,91,0,1,,0,,"23,1,200",,,,
 Acelera o balanço do machado em 30% ,-1,7,92,0,1,,0,,"23,1,300",,,,
 Chance crítica para cortar árvores +5% ,-1,7,93,0,1,,0,,"24,1,50",,,,
 Aumento de 10% na taxa de acerto crítico ao cortar árvores ,-1,7,94,0,1,,0,,"24,1,100",,,,
 Aumento de 15% na taxa de acerto crítico ao cortar árvores ,-1,7,95,0,1,,0,,"24,1,150",,,,
 Probabilidade de obter sementes aumenta em 5% ,-1,7,96,0,1,,0,,"41,1,50",,,,
 Probabilidade de obter sementes aumenta em 10% ,-1,7,97,0,1,,0,,"41,1,100",,,,
 Probabilidade de obter sementes aumenta em 15% ,-1,7,98,0,1,,0,,"41,1,150",,,,
 Velocidade extra em casa +10% ,-1,7,99,0,1,,0,,"8,1,100",,,,
 Velocidade extra em casa +20%,-1,7,100,0,1,,0,,"8,1,200",,,,
Velocidade extra em casa +30%,-1,7,101,0,1,,0,,"8,1,300",,,,
 Aumenta o dano crítico aos monstros em 10%,-1,7,102,0,1,,0,,"20,1,100",,,,
 Aumenta o dano crítico aos monstros em 20%,-1,7,103,0,1,,0,,"20,1,200",,,,
 Aumenta o dano crítico aos monstros em 30%,-1,7,104,0,1,,0,,"20,1,300",,,,
 1% de aumento de dano recebido em batalha,5000,7,105,0,5,,1,buff-icon-105,"18,1,10",,,,
 2% de aumento de dano recebido em combate,5000,7,106,0,5,,1,buff-icon-106,"18,1,20",,,,
 3% de aumento de dano recebido em combate,5000,7,107,0,5,,1,buff-icon-107,"18,1,30",,,,
 Deslocamento pré-lançamento da habilidade de corrida,200,2,108,0,,"500,0,1",0,,,,,,
 Distância de repulsão da habilidade de corrida,200,3,109,0,1,250,0,,,,,,
 Dano da habilidade de corrida 1,0,1,110,0,,"500,1,2",0,,,,,,
 Dano da habilidade de corrida 2,0,1,111,0,,"1000,1,2",0,,,,,,
 Dano da habilidade de corrida 3,0,1,112,0,,"1500,1,2",0,,,,,,
 Habilidade de corrida 1,300,10,113,0,,"110,109,445",0,,,100,,,
 Habilidade de corrida 2,300,10,114,0,,"109,111,445",0,,,100,,,
 Habilidade de corrida 3,300,10,115,0,,"109,112,445",0,,,100,,,
" Sem dano, mais dano Nível 1",-1,14,116,0,1,20000,1,buff-icon-116,"21,1,100",,,,
" Sem dano, mais dano Nível 2",-1,14,117,0,1,10000,1,buff-icon-117,"21,1,100",,,,
" Sem dano, mais dano Nível 3",-1,14,118,0,1,5000,1,buff-icon-118,"21,1,100",,,,
 Aumenta a velocidade em 10%,-1,7,119,0,1,,0,,"7,2,100",,,,
