canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,"8000,12000,12000,12000,8000,8000,8000,8000,8000,8000",0,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,Kosong,,Kosong,"Kosong
",,,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,,0,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,Kosong,,Kosong,"Kosong
",,,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,,0,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,,,Kosong,"Kosong
",,,,,,
0,160,20000,1,"0,3",DungeonSceneLoading_1_3.jpg,,100,0,5,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,60,120","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3","Tersembunyi di dalam dedaunan lebat hutan, seperti sebuah keajaiban di bumi. Puncak-puncak batuannya menyerupai barisan bilah pedang yang tajam, namun juga menyerupai kelopak bunga.
",185,Puncak Bunga,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0;0,"0,1440","468,1",,,
0,40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,,160,0,5,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,1280","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3","Di wilayah yang hancur itu, sebuah benteng gelap berdiri dengan bangga, tepi-tepinya tergantung di tengah hampa, tanpa dukungan fisik apa pun. Tempat ini dipenuhi dengan banyak monster berbahaya, tumbuh banyak koleksi langka yang belum pernah terlihat sebelumnya.
Tim yang ",186,Kerajaan Terapung,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0;0,"0,1440","467,1",,,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,,640,0,5,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3","Bertarung melawan makhluk-makhluk berapi; bertarung di lingkungan yang gelap dan menyeramkan, berjaga-jaga terhadap serangan dari makhluk hampa; menjelajahi reruntuhan kuno untuk mengungkap rahasia dan harta karun yang tersembunyi di dalamnya. Petualang yang berani, apakah kalian siap menghadapi tantangan ini?",187,Domain Kuno,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0;0,"0,1440","658,1",,,
1,0,21001,0,"2,4",DungeonSceneLoading_7_9.jpg,,0,1,5,PVPDungeonSceneLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Hadiah
- **Mengalahkan Monster atau Mengumpulkan**: Pemain akan menerima hadiah **Token** yang diinvestasikan oleh totem.
- **Mengeliminasi Pemain Lain**: Pemain dapat mengklaim hadiah **LUASUD** yang belum diselesaikan dari lawan yang mereka kalahkan.
- **Mengalahkan Bos**: Pemain dapat memperoleh **bahan-bahan khusus misterius** yang penting untuk perkembangan permainan.
##  Gambaran Aturan
- **Struktur Level**: Dungeon terdiri dari **3 level yang kacau**, masing-masing menampilkan tantangan tersendiri.
- **Safe Zone**: Ada **safe zone** di dalam level, yang akan **mengecil seiring waktu**, memaksa pemain untuk berkonfrontasi.
- **Tiga Jenis Gerbang**:
  - **Gerbang Tantangan**: Untuk yang berani, gerbang ini mengarah ke level petualangan berikutnya.
  - **Gerbang Keluar**: Keluar dari dungeon dan mengorbankan semua hadiah **Token** yang belum diselesaikan.
  - **Gerbang Penyelesaian**: Menetap dan mengumpulkan hadiah **Token** dengan rasio tertentu.
",172,Arena Junior,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0,"0,0","659,1","8,24",,
1,0,21002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Hadiah
- **Mengalahkan Monster atau Mengumpulkan**: Pemain akan menerima hadiah **Token** yang diinvestasikan oleh totem.
- **Mengeliminasi Pemain Lain**: Pemain dapat mengklaim hadiah **LUASUD** yang belum diselesaikan dari lawan yang mereka kalahkan.
- **Mengalahkan Bos**: Pemain dapat memperoleh **bahan-bahan khusus misterius** yang penting untuk perkembangan permainan.
##  Gambaran Aturan
- **Struktur Level**: Dungeon terdiri dari **3 level yang kacau**, masing-masing menampilkan tantangan tersendiri.
- **Safe Zone**: Ada **safe zone** di dalam level, yang akan **mengecil seiring waktu**, memaksa pemain untuk berkonfrontasi.
- **Tiga Jenis Gerbang**:
  - **Gerbang Tantangan**: Untuk yang berani, gerbang ini mengarah ke level petualangan berikutnya.
  - **Gerbang Keluar**: Keluar dari dungeon dan mengorbankan semua hadiah **Token** yang belum diselesaikan.
  - **Gerbang Penyelesaian**: Menetap dan mengumpulkan hadiah **Token** dengan rasio tertentu.
",173,Arena Menengah,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0,"0,0","660,1","8,24",,
1,0,21003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Hadiah
- **Mengalahkan Monster atau Mengumpulkan**: Pemain akan menerima hadiah **Token** yang diinvestasikan oleh totem.
- **Mengeliminasi Pemain Lain**: Pemain dapat mengklaim hadiah **LUASUD** yang belum diselesaikan dari lawan yang mereka kalahkan.
- **Mengalahkan Bos**: Pemain dapat memperoleh **bahan-bahan khusus misterius** yang penting untuk perkembangan permainan.
##  Gambaran Aturan
- **Struktur Level**: Dungeon terdiri dari **3 level yang kacau**, masing-masing menampilkan tantangan tersendiri.
- **Safe Zone**: Ada **safe zone** di dalam level, yang akan **mengecil seiring waktu**, memaksa pemain untuk berkonfrontasi.
- **Tiga Jenis Gerbang**:
  - **Gerbang Tantangan**: Untuk yang berani, gerbang ini mengarah ke level petualangan berikutnya.
  - **Gerbang Keluar**: Keluar dari dungeon dan mengorbankan semua hadiah **Token** yang belum diselesaikan.
  - **Gerbang Penyelesaian**: Menetap dan mengumpulkan hadiah **Token** dengan rasio tertentu.
",174,Arena Lanjutan,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0,"0,0","661,1","8,24",,
1,0,22001,0,"2,4",DungeonSceneLoading_7_9.jpg,,0,1,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Hadiah
- **Mengalahkan Monster atau Mengumpulkan**: Pemain akan menerima hadiah **Token** yang diinvestasikan oleh totem.
- **Mengeliminasi Pemain Lain**: Pemain dapat mengklaim hadiah **LUASUD** yang belum diselesaikan dari lawan yang mereka kalahkan.
- **Mengalahkan Bos**: Pemain dapat memperoleh **bahan-bahan khusus misterius** yang penting untuk perkembangan permainan.
##  Gambaran Aturan
- **Struktur Level**: Dungeon terdiri dari **3 level yang kacau**, masing-masing menampilkan tantangan tersendiri.
- **Safe Zone**: Ada **safe zone** di dalam level, yang akan **mengecil seiring waktu**, memaksa pemain untuk berkonfrontasi.
- **Tiga Jenis Gerbang**:
  - **Gerbang Tantangan**: Untuk yang berani, gerbang ini mengarah ke level petualangan berikutnya.
  - **Gerbang Keluar**: Keluar dari dungeon dan mengorbankan semua hadiah **Token** yang belum diselesaikan.
  - **Gerbang Penyelesaian**: Menetap dan mengumpulkan hadiah **Token** dengan rasio tertentu.
",172,Arena Solo Junior,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0,"0,0","659,1","3,24",,
