actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,Benteng,1
2,1,2,怪物攻击力增强了,2, Kemarahan,1
3,1,2,玩家防御值削弱了,3, Kutukan,1
4,1,2,玩家攻击力削弱了,4, Kelemahan,1
5,1,2,怪物最大血量增加了,5, Pengorbanan Darah,1
6,1,2,怪物防御值削弱了,6, Pecah Armor,1
7,1,2,怪物攻击力削弱了,7, Mematikan,1
8,1,2,玩家防御值增强了,8, Melindungi,1
9,1,2,玩家攻击力增强了,9, Menginspirasi,1
10,1,2,怪物最大血量减少了,10, Mendukung,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, Pecah Armor,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, Mematikan,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, Melindungi,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, Menginspirasi,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, Mendukung,2
11,1,1,减益,16, Peristiwa Acak Pertempuran,1
12,1,3,增益,17, Peristiwa Acak Pertempuran,1
13,1,1,减益,18, Peristiwa Acak Pengumpulan,1
14,1,3,增益,19, Peristiwa Acak Pengumpulan,1
15,1,5,减益,20, Peristiwa Acak Pertanian,1
16,1,7,增益,21, Peristiwa Acak Pertanian,1
"37,38",1,8,变化,22, Peristiwa Pengumpulan Dasar,1
39,2,"5,6",种田副本削减成长时间,23, Pertumbuhan Dipercepat,1
