IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleaseEffFollow-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,searchTarget-int[][],skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillFlyerId-int,skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,itemCost-int[][],accuTab-string
0,0,0,0,0,"1,239",214,150,14,0,1,0,1,0,0,0,1,skill_attack1,Skill_punch_attack1,Punch,14,550,1,-1,Безоружная атака - Ход 1.,350,2,0,Безоружная атака,"4,300,150,16000,0",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"15,239",214,150,15,0,1,0,1,0,0,0,1,skill_attack2,Skill_punch_attack2,Punch,14,550,1,-1, Безоружная атака - Ход 2.,350,2,0, Безоружная атака,"4,300,150,16000,0",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",214,150,16,0,1,0,1,0,0,0,1,skill_attack3,Skill_punch_attack3,Punch2,14,550,1,-1, Безоружная атака - Ход 3.,350,2,0, Безоружная атака,"4,300,150,16000,0",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"239,385,567",31,150,17,0,1,0,1,0,0,0,1,skill_sword_attack1,skill_sword_attack1,knife01,14,620,1,-1, Мечевая атака - Ход 1.,400,2,0, Атака мечом,"4,300,300,27000,0",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"15,239,567",31,150,18,0,1,0,1,0,0,0,1,skill_sword_attack2,skill_sword_attack2,knife02,14,620,1,-1, Мечевая атака - Ход 2.,400,2,0, Атака мечом,"4,300,300,27000,0",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386,567",31,150,19,0,1,0,1,0,0,0,1,skill_sword_attack3,skill_sword_attack3,knife03,14,670,1,-1, Мечевая атака - Ход 3.,400,2,0, Атака мечом,"4,300,300,27000,0",CameraShakeGrade_2,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,,18,0,20,0,1,0,1,0,0,0,0,jump_roll,,playerroll,,400,1,2000, Быстро уклоняйтесь от атак или быстро перемещайтесь.,,2,0, Кувырок игрока,,,1,0,,,,19,skill-icon-20,,,,,,,,,,,
0,0,0,0,0,15,,300,21,0,1,0,1,0,0,0,0,normal_chudi,,ranged_RPG_attack2_audio,37,500,1,-1, Используйте одно действие с мотыгой для обычной атаки по цели.,,2,0, Одиночное вспахивание,,,1,0,1,1,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,0,22,0,1,1,1,1,0,0,0,ranged_RPG_attack5,Skill_watering,ranged_RPG_attack5_audio,,0,1,-1, Полейте отдельное растение обычным количеством воды.,,2,0, Полив отдельного растения,,,1,0,1,3,1000,,,,,,,,,,,,,
0,0,0,0,0,,,280,23,0,1,0,1,0,0,0,0,A-bozhong-NEW,Skill_seeding,A-bozhong-NEW_audio,,400,1,-1, Точно и эффективно посадите одно семя.,,2,0, Одиночная посадка семян,,,1,0,,2,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,280,24,0,1,0,1,0,0,0,0,ranged_RPG_reload,Skill_fertilize,playerroll,,400,1,-1, Примените одну дозу удобрения для улучшения роста растений.,,2,0, Одиночное удобрение,,,1,0,,4,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,416",,350,25,0,1,0,1,0,0,0,0,normal_gaozi,Skill_mine,ranged_RPG_attack4_audio,30,500,1,-1, Используйте одну атаку с косой в обычной атаке против врага.,,2,0, Одиночное копание глефой,"4,300,150,27000,0",CameraShakeGrade_1,1,0,1,"7,8",1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,417",,350,26,0,1,0,1,0,0,0,0,normal_futou,Skill_chop,ranged_RPG_attack3_audio,23,500,1,-1, Срубите одним ударом топора в обычной атаке.,,2,0, Одиночный сруб топором,"4,300,150,27000,0",CameraShakeGrade_1,1,0,1,6,1000,,,skill_tree_hurt,,,,,,,,,,
