actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,Крепость,1
2,1,2,怪物攻击力增强了,2, Ярость,1
3,1,2,玩家防御值削弱了,3, Проклятие,1
4,1,2,玩家攻击力削弱了,4, Слабость,1
5,1,2,怪物最大血量增加了,5, Кровавый жертвоприношение,1
6,1,2,怪物防御值削弱了,6, Пробивание брони,1
7,1,2,怪物攻击力削弱了,7, Затупление,1
8,1,2,玩家防御值增强了,8, Охрана,1
9,1,2,玩家攻击力增强了,9, Вдохновляющий,1
10,1,2,怪物最大血量减少了,10, Поддерживающий,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, Пробивание брони,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, Затупление,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, Охрана,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, Вдохновляющий,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, Поддерживающий,2
11,1,1,减益,16, Случайное событие в бою,1
12,1,3,增益,17, Случайное событие в бою,1
13,1,1,减益,18, Случайное событие при сборе,1
14,1,3,增益,19, Случайное событие при сборе,1
15,1,5,减益,20, Случайное событие в сельском хозяйстве,1
16,1,7,增益,21, Случайное событие в сельском хозяйстве,1
"37,38",1,8,变化,22, Основное событие сбора,1
39,2,"5,6",种田副本削减成长时间,23, Ускоренный рост,1
